Broad_Jump
120
102
125
127
102
105
108
119
110
120
123
104
104
110
115
122
117
110
133
113
119
111
112
120
123
122
98
120
107
129
118
117
117
124
104
125
123
108
125
119
99
121
108
99
102
108
108
120
112
124
