Weight of Tablet
0.608
0.608
0.608
0.61
0.612
0.601
0.61
0.608
0.607
0.598
0.606
0.61
0.605
0.611
0.6
0.602
0.607
0.609
0.608
0.605
0.611
0.6
0.605
0.61
0.603
