Distance
2.2
8.2
3.4
2.7
21.3
16.5
6.3
11.4
2.8
1.5
4.6
9.4
1.3
4.7
1.3
2.5
0.4
5.7
1.1
9.4
2.9
1.4
6.5
5.1
1.4
3.4
5
4.5
5.5
8.5
1.1
15.5
8.9
17.2
17.5
2.4
1.3
5.4
19.3
42.3
0.6
7.7
23.2
0.8
21.6
2.5
1.6
9.6
3.8
14.6
