depth (km),magnitude
1.57,0.94
2.9,2.4
16.25,0.5
36.61,5
10,4.5
58.47,5.1
2.84,0.43
13.39,0.56
14.7,0.42
2.64,1.96
2.44,1.53
2.08,1.04
2.87,0.51
2.52,0.57
13.28,0.97
15,0.7
10,5
35,4.5
2.43,0.43
9.83,1.42
0,2
211.7,2.9
4.37,0.93
7.05,1.13
4.34,2.76
9.02,1.08
2.37,0.93
0.06,1.07
5.71,3.09
14.49,0.71
0,1
10.8,1.9
43.21,5.6
2.38,1.23
10.79,1.05
1.1,1.16
4.3547,1.66
133,3.3
8.11,1.08
8.7,4.6
11.9,0.62
34.9,1.7
33.5,1.2
2.88,0.68
1.5,2.8
2.8,0.7
65.2,1.9
4.89,0.41
1.1,0.96
2.33,0.69
16.43,0.76
0.03,1.43
10,4.6
6.5169,2.04
67.8,2.1
4.9666,1.74
3.48,0.18
9.28,0.59
38.2,2.4
10.4,1.3
9,1.85
8.52,1.07
3.61,0.93
3.5,0.43
10,5.2
91.8,1.2
17.14,1.66
4.7713,1.52
15.26,1.07
10,4.7
9.46,0.15
17.3,1.1
11.9,1
6.21,2.6
12.5,1.3
3.29,1.38
0.2068,1.55
3.7,0.54
0,1.4
2.13,0.54
17.3,1.5
3.42,0.61
0.1,2.6
17,1.2
20.1,2.6
5.5642,1.45
12.36,0.35
27,4.9
1.9198,1.9
3.15,0.56
0.7,1.8
7.01,1.35
0,1.9
11.4,1
12.3,1.9
6.98,1.69
10,4.9
15.44,0.82
57,2.1
2,0.8
6.02,2.56
1.83,0.59
8.6,0.31
3.9,0.43
10,5.7
3.62,1.87
1.1,1.27
2.1,1.3
1.34,0.45
4.92,1.04
7.23,1.11
45,3.4
2.26,0.43
6.89,1.05
10,5
6.14,2.91
2.53,0.76
2.26,2.06
8.6415,0.65
10,5.2
5.13,0.66
6.07,0.91
10,6.8
1.83,2.3
0.47,1.54
2.99,2.65
8.92,2.67
6.1,2.94
1.1,1.15
0.36,1.9
110.9,3.5
2.23,0.52
4.54,1.76
5.76,2.07
2.34,0.43
6.01,2.02
5.46,2.85
6.66,1.91
20,1
2.29,0.98
6.95,1.17
2.07,2.7
36.1,1.7
1.29,0.56
10,4.5
13.63,0.82
18,0.1
11.8,1.9
0.01,2.32
117.32,6
0.74,1.05
1.17,1.63
6.29,1.41
37.8,1.8
15.84,1.23
22.8,1.4
14.3,1.7
2.94,2.7
10.71,0.43
3.25,0.95
3.8781,1.94
3.02,0.87
10.61,0.31
3.04,1.34
4.03,2.4
50,2.1
20,2.4
17.28,0.65
60.7,1.7
0,2
0.36,1.42
75.5,1.5
15.35,2.64
14.77,1.13
10.2,0.31
5.41,0.9
14.26,0.78
2.1,0.46
11.18,1.3
10.42,0.64
10.78,2.02
1.91,1.14
2.13,0.86
10.08,0.33
14,6
2.81,1.2
2.67,0.8
6.2,1.9
10.66,0.34
13.55,1.32
50.3,1.6
2.24,1.12
10.85,1.86
93.7,3.5
48,3.2
2.9,0.8
11,1.8
2.9,1.2
8.21,0.37
15.46,1.32
0.91,0.75
0.19,0.39
0.66,0.55
0.7,2.94
0.93,0.81
1.12,1.35
0.97,1.57
1.8,1.02
88.4,1.2
13.41,0.83
116,2
0.75,0.84
0,0.52
3.2,1.7
2.77,2.01
3.61,0.48
3.9809,2.57
11.76,0.78
11.68,3.32
39.2,1.3
19.8,2.2
4.9301,0.47
1.75,1.86
1.89,0.56
6.06,1.09
11.35,2.84
12.53,1.03
10.6,1.8
3,1.01
3,0.9
6.49,0.43
8.21,0.35
11.5,0.9
107.2,1.3
61.5,1.8
6.17,1.5
2,0.56
12.56,0.7
6.43,0.59
2.47,1.19
15,1
33.75,1.33
5,2.6
2.9,1.2
0.03,0.51
11.49,1.71
4.49,1.75
1.44,0.67
0.27,1.03
3.38,3.46
62.8,2.1
21.3,1.6
3.03,2.1
6.72,0.52
23.28,0.49
0.03,1.5
51,1.4
3.1,1.02
9.34,1.88
13,0.79
8.72,0.24
35,4.6
3.68,0.52
3.07,1.01
3.46,1.95
15.6,1.9
15.25,1.07
4.4,1.1
64,1.2
0.6287,1.96
3.17,1.68
10,5.5
21.55,0.87
3.8,0.8
3.49,0.55
18.34,0.9
4.03,0.33
14.38,1.46
2.66,0.89
8.44,1.8
2.4,0.8
48.1,2
2.49,1.36
2.82,2.08
18.43,1.08
3.0957,1.86
2.9,1.1
6.99,0.74
11.65,0.37
5,2.9
12.62,0.55
10.64,1.28
5,3.2
8.74,1.97
2.85,2.1
166.62,4.5
10.86,5
33,1.8
11.05,0.55
6.06,0.24
61,1.3
14.9,1.4
18.3,1.2
32.9,3.1
10.84,2.18
49.5,2
14.1,0.19
14.29,1.23
19.49,0.6
0.3,0.6
4.24,1.17
6.27,0.93
9.11,0.19
92.9,3.4
65.32,4.4
19.2,1.19
112.7,1.7
4.2256,2.68
9.02,2.03
9.32,2.21
9.78,1.11
6.38,0.89
15.4,1.2
120.4,1.5
28.6,1.4
9.02,0.09
5.79,1.04
7.5,1.1
5.89,1.19
6.96,0.99
13.7,3.3
98.7,3.4
6.67,3.92
5.78,1.63
2.49,1.04
9.2,0.49
64,2.4
0,1.38
10,5.3
17.23,0.76
31.3,1.8
4.17,0.67
93.4,1.1
8.87,1.07
8.45,0.38
10,4.4
3.69,1.17
8,1.52
2.9,2.1
25,1.9
1.6402,1.33
9.45,1.58
68.3,0.6
13.38,1.57
58.8,2.2
7.0892,2.04
28.3,1.9
2.23,1.39
5.41,2.1
5.93,0.87
14.8,1.4
9.52,0.98
8.88,0.73
3.33,0.63
35.1,1.7
8.84,1.35
101.4,1.3
2.52,0.88
2.23,1.04
2.35,1.32
15.74,1.42
0.01,1.17
534.05,4.3
9.05,1.64
18.22,2.14
0.7,1.6
6.98,2.31
14.26,1.7
48.29,4.8
20.12,5.4
0.3,1.3
6.48,5.1
9,1.2
11.4,3.3
1.68,0.89
0.01,1.76
7.474,2.5
11.8,2.1
4.31,2.9
0.01,1.43
11.37,0.68
14.1,1.4
11,5.5
5.523,2.6
2.97,0.69
6.6714,1.7
5.775,2.8
4.92,1.78
14.87,4.9
3.13,0.46
67.21,4.6
6.34,0.76
8.88,1.41
5.3,1.7
1.89,0.5
0.5,1.6
4.97,0.96
3.56,0.73
157.2,2.8
6.71,1.09
120.55,4.9
350.89,5
3.82,1.15
9.62,1.05
4.9,1.7
11.2265,0.72
9.93,1.06
5.6134,1.95
66.84,5.2
16.55,0.33
112.1,2.5
1.8,1.8
1.23,0.65
8.64,1.34
8.54,0.92
2.5,0.7
53.33,4.8
18.67,0.9
36.2,1.8
9.72,1.23
9.5,1.1
6.4371,1.04
10.6,1.9
0,2.1
0.05,1.19
0,2.51
13.7228,0.36
132.1,2.8
33,2.3
6.68,1.41
10,4.9
137.76,4.3
0.7,2.2
15.21,0.87
12.6,1.2
14.75,0.84
0.97,1.54
10.44,0.43
3.07,2.24
10,5
7.84,1.25
5.9,1.4
31.9,1.6
42,1.9
4.4765,1.14
33.9,1.8
4.5081,1.24
5.43,0.79
91.8,3.6
5.46,0.36
5.2606,1.73
6.8,0.1
252.37,5.1
9,1.13
2.6623,1.94
7.26,0.61
67.59,4.8
4.8921,1.29
1.9,0.55
4.1644,1.57
10.78,1.58
13.1859,0
115.4,2.5
8.9,0.9
7.28,0.96
7.41,0.88
198.7,2.4
2.65,0.76
3.18,1
5.14,0.71
68.5,1.4
10.7889,0.9
2.04,1.54
2.87,1.19
20.6,1.61
2.58,1.8
2.56,0.82
8.01,2.6
3.4,1.3
2.48,0.9
2.7,1.35
18.4,0.89
2.53,1.03
9.53,0.42
78.2,1.4
7.74,1.39
18.51,0.81
62,3.4
10.1,1
3.14,0.85
8.81,1.72
7.29,1.63
37.2,1.5
0.07,1.59
4.3,2.5
2.51,1.59
28.7,1.5
2.2,1.8
1.8,0.89
2.82,0.43
1.1,1.75
0,1.06
3.4,4
8.77,4.6
2.36,0.82
117.21,4.5
10.32,1.26
3.42,0.51
7.3,2.7
116,3
13.1,4.2
0,1.02
4.2061,1.88
0,1.7
2.8,2.4
1.9,2.2
14.83,2.64
7.1,0.3
7.1,1.08
10,4.1
12.16,4.1
22.7,1.2
12.99,1.74
55.23,4.7
5.94,0.75
2.65,2.9
1,1.18
12.16,0.79
0,1.1
0.02,1.55
46.3,1.4
6.9,1.3
0.01,1.76
7.4,2.3
3.63,1.26
5.9,1.7
60.9,1.4
24,1.8
9,2.8
15.4,2.4
143,2.3
16.36,1.16
13.56,1.01
9.01,1.65
6.295,2.8
3.8,0.7
10.6,1.2
12.7,0.84
8.52,1.07
0,1.6
0.01,1.31
2.26,1.28
7.1,1.5
4.55,0.78
101.3,1.7
22.12,1.88
16.42,4.6
0.01,1.55
81.4,1
3.79,1.98
5.2925,1.57
4.738,2.6
2.27,0.63
3.21,1.59
20.6,1.2
6.59,1.17
11.8074,2.07
4.1513,1.65
5,2.7
0.01,1.39
4.23,1.59
4.53,1.55
1.0899,1.97
2.8283,1.89
5,2.7
4.01,1.89
0.7,2
2.4442,1.98
4.15,3.19
8.96,1.32
2.58,0.77
2.61,0.78
93.7,1.5
18.77,0.92
100.6,1.5
22.1,2.3
10.43,1.22
108.66,5.4
5,0.12
4.64,0.57
1.81,1.41
8.68,0.35
0.01,0.05
6.89,0.45
9.18,1.98
7.9,1.08
5,3.5
5.4,0.61
10.27,1.35
4.1535,1.45
8.63,2.44
7.19,1.23
0.62,0.43
11.52,0.97
2.21,1.47
13.76,0.83
16.18,1.16
3.39,0.34
6.7092,1.95
0.1,2.2
3.69,1.93
7.48,1.77
15.51,3.56
1.7,1.34
19.06,1.13
4.02,0.67
2.45,0.58
3.3,1.1
4.704,2.6
2.78,0.78
0,1.6
7.059,2.6
7.79,0.45
2.73,1.56
4.27,1.53
14.19,1.65
518.46,4.6
11.99,1.12
7.35,0.74
13.9,1.6
8.6,1.1
5.49,1.15
2.388,1.77
132.45,4.4
5.6144,2.48
6.99,1.41
56.7,1.5
24.38,4.29
3.726,1.86
0.4,0.98
3.6688,1.69
8.11,1.63
2.13,0.87
3.0174,1.9
1.19,1.94
9.61,0.77
3.5,2.2
13.1,0.73
2.41,0.83
85.5,1.9
0.68,1.98
3.5135,1.79
16.4,1.2
15.15,1.55
7.26,0.73
79.1,0.8
4.4592,3.1
4.12,2.45
3.11,1.38
2.556,1.94
3.17,1.03
4.2,2.9
13.23,1.77
0,1.17
1.66,0.96
10,5.1
3.28,1.13
11.9,0.6
75.62,5.2
6.03,2.08
7.04,2.62
5.91,2.35
18.8,0.5
6.12,2.23
14.5,1.2
0.2346,0.68
2.62,1.7
5,3.2
12.1,1.2
6.95,1.13
2.94,0.8
9,1.7
17.1,2
5.32,1.46
7.04,0.74
3.11,0.57
1.9,2.7
1.1,1.87
14.21,0.74
2.5,1.82
5,1.84
2.1401,1.17
5,2.9
10,4.8
4.7276,1.54
99.3,1.5
2.9535,1.63
4.12,1.56
5,0.6
10.5,1.1
4.42,0.31
8.14,3.13
5.8021,2.57
17.2,0.6
3.06,0.3
5.77,3.4
3.8586,2.16
4.08,2.5
112,1.3
10.4864,1.7
3.8351,1.74
20.8,1.9
5.96,2.17
17.2,2.8
4.7058,1.52
16.53,1.12
11.4758,4.16
1.3818,1.49
3.8785,1.94
10.1,1.6
17.56,0.36
1.68,1.13
2.47,0.5
3.38,0.52
3.0403,1.03
1.28,0.53
27.1,1.5
38,2.9
16.6,0.9
1.66,0.99
71.4,1.8
3.76,0.72
3.76,0.7
44,2.6
17,0.3
5.4,1.3
2.99,0.28
24.87,4.7
3.5,1.15
8.81,0.24
14.35,0.86
117.4,2.5
0.1,1.6
5,2.2
72.9,1.6
121.3,1.3
18.9,1.2
80.06,4.7
6.5462,1.54
8.42,0.87
1.96,1.99
62.1,1.1
6.16,0.76
7.2,0.98
6.7,3.3
2.92,1.13
6.24,0.73
9.11,0.28
189.43,4.9
11.91,1
11.71,1.09
13.9,2.2
9.02,1.22
5.4162,2.13
2.1,1.3
10.91,2.14
36.7,2.9
5.6,1.2
27.9,2.9
2.62,1.54
4.2405,1.4
0.22,0.31
5,2.9
4.17,0.29
28.6,1.3
3.5,1.1
0.01,2.1
1.43,1.41
2.03,1.57
1.4,1
8.3704,1.63
2.63,1.97
3.3,1.7
8.5,1
5.17,1.35
1.1,0.5
1.59,1.62
11.17,1.33
100.9,1.4
0.01,1.52
0.8,1.1
36.6,2.5
65,1.3
4.36,1.2
5.01,1.26
18.12,0.76
4.57,2.01
83.2,1.1
1,1
10,3.3
90.1,1.9
2.46,1
39.1,1.3
1,1.9
14.41,0.98
5,2.6
18.87,0.92
15.17,4.6
103.3,1.2
20,1.3
128,1.6
4.95,2.19
19.7,2.4
2.43,1.19
3.94,0.73
5.2878,1.97
218.43,4.4
2.84,1.51
5.6126,2.81
3.21,1.25
10,4.4
2.91,1.69
4.56,1.87
7.17,0.81
3,1.6
9.3,1
9.431,2.9
8.55,1.37
3.4349,1.74
10,0.8
3.64,0.65
2.02,0.31
16.3,0.39
4.16,1.37
122.2,1.2
2.55,1.55
13.3,2.4
55,3
6.78,0.42
25.3,3
7.4,0.8
0.03,1.05
2.19,0.84
5,2.8
46.1,1.3
14.5,1.7
41.38,4.6
6.5862,2.41
45.4,1.4
85.2,2.1
2.5072,0.7
15.08,0.97
1.4,1.6
78.7,2
26.5,1.4
10.36,1.25
73.6,1.5
6.661,3.7
19,2.5
4.88,0.06
161.47,5.3
2.44,0.91
6.82,1.03
73.7,2.3
61.7,1.7
3.615,1.93
10,4.9
12.7,0.9
167.3,4.8
19.99,0.81
84.5,1
35.1,1.6
6.47,1.76
1.83,0.55
14.1,0.1
5.6,0.8
82.7,1.9
2.7758,0.91
104.15,4.3
14,1.7
17,1.4
86,2.8
8.9,1.3
2.88,0.5
1,0.6
41.4,2.3
14.2,1
2.1,1.3
121.2,1.9
92.32,4.9
59.32,5.1
6.24,0.9
15.98,0.81
8.0591,1.03
4.14,2.1
23.25,0.89
19.74,4.8
6.2,0.62
8.69,2.06
9.0969,1.06
56,3.3
59.7,3.3
15.37,0.65
7.04,1.24
38.4,2.4
7.32,1.95
3.68,0.85
18.5,2.2
1.91,1.14
1.1,0.88
9.11,1.8
11.24,1.25
0.16,0.93
2.22,0.79
4.42,0.84
6.2116,1.72
17.86,0.38
14,0.7
2.37,1.05
33.1,1.2
17.36,0.87
8.08,1.45
10.2,1.1
14.3,0.8
6.26,0.98
19.69,0.6
22.39,0.88
9.08,0.49
119.7,1.3
10.5,1.5
13.4,1
0.08,0.7
2.53,0.56
8.3,0.7
62.3,2.3
4.3,1.3
14.85,1.62
8.8,0.3
26.5,3.5
4.25,0.26
6.9,1.6
127.5,2
5.5487,3
1.78,2.6
29.1,1.6
14.78,1.53
15.59,0.95
16.8,1.1
96.3,1.8
87.5,1.9
50.26,4.6
2.78,0.88
14.6,4.8
4.09,0.48
41,3
2.89,2.6
24.54,3.6
65.4,1.1
6.78,1.11
8.18,0.16
79.7,2.1
8.09,0.2
3,0.95
2.27,1.5
1.6,0.46
21.4,2.2
21.03,5.7
14.4,1.6
0,1
8.84,0.91
5.5919,1.03
10,1.9
21.7,1.7
2.32,0.88
6.4615,0.34
1.28,1.39
8.7,1.6
5.2,1.03
4.7002,1.33
18.4,1.8
43,2.8
23.5,4.5
17.9,1
9.6,1.67
5.996,2.9
