Name,Control,State,Degree_Status,Size_Category,Highest_Degree,HBCU,Distance_Ed,Tuition,Admit_Rate,GradRate_4,GradRate6,GradRate6_men,GradRate6_women,GradRate_Pell,Percent_Aid,StudentFaculty_Ratio,Enrollment
Dominican University of California,2,CA,1,2,9,2,1,67860,93,68,77,72,80,72,100,10,1986
Dordt University,2,IA,1,2,7,2,1,49480,73,71,75,69,82,73,100,14,1537
Drake University,2,IA,1,2,9,2,1,62125,69,70,77,75,77,67,100,11,4311
Drew University,2,NJ,1,2,9,2,1,62002,80,68,74,72,75,69,99,12,2262
Drexel University,2,PA,1,5,9,2,1,76524,83,31,78,74,83,76,100,10,21463
Drury University,2,MO,1,2,7,2,1,46764,65,43,60,51,67,53,100,12,1638
Duke University,2,NC,1,4,9,2,1,79860,6,89,96,94,97,95,61,6,16275
Dunwoody College of Technology,2,MN,1,2,5,2,1,38149,99,33,33,0,50,49,95,10,1185
Duquesne University,2,PA,1,3,9,2,1,61270,84,67,77,71,80,72,100,13,8746
Earlham College,2,IN,1,1,7,2,1,64527,69,65,73,71,74,66,100,7,827
East Carolina University,1,NC,1,5,9,2,1,23215,94,45,66,60,70,60,80,18,25329
East Central University,1,OK,1,2,7,2,1,20303,65,20,31,24,38,29,81,17,3048
East Stroudsburg University of Pennsylvania,1,PA,1,3,9,2,1,27021,93,36,49,38,56,40,82,18,5094
East Tennessee State University,1,TN,1,4,9,2,1,25890,87,35,51,43,57,41,98,15,12278
East Texas Baptist University,2,TX,1,2,7,2,1,41224,65,40,45,39,51,38,99,14,1509
Eastern Connecticut State University,1,CT,1,2,7,2,1,29836,73,45,57,49,62,51,98,14,4001
Eastern Illinois University,1,IL,1,3,8,2,1,25802,72,35,51,45,54,44,99,14,6174
Eastern Kentucky University,1,KY,1,4,9,2,1,21962,98,34,52,47,55,38,99,15,11912
Eastern Mennonite University,2,VA,1,2,9,2,1,55500,95,44,55,49,60,48,93,11,1149
Eastern Michigan University,1,MI,1,4,9,2,1,30610,85,23,48,44,51,40,97,15,13015
Eastern Nazarene College,2,MA,1,1,7,2,1,41408,64,44,56,53,60,46,100,10,651
Eastern New Mexico University-Main Campus,1,NM,1,2,7,2,1,19910,33,21,34,30,37,37,97,16,3630
Eastern Oregon University,1,OR,1,2,7,2,1,24669,98,27,38,35,41,34,99,15,2287
Eastern University,2,PA,1,2,9,2,1,53245,69,50,62,60,64,53,100,13,3222
Eastern Washington University,1,WA,1,4,9,2,1,25056,97,26,50,48,51,42,96,20,11038
Ecclesia College,2,AR,1,1,7,2,1,28430,67,14,17,25,0,12,100,10,172
Eckerd College,2,FL,1,2,5,2,0,65636,70,63,68,63,71,68,99,12,1991
Edgewood College,2,WI,1,2,9,2,1,48430,95,42,62,56,64,57,100,12,1641
Edinboro University of Pennsylvania,1,PA,1,2,9,2,1,27054,92,34,50,46,53,36,96,16,3854
Edward Waters University,2,FL,1,2,7,1,1,27164,80,14,28,25,32,29,100,22,916
Elizabeth City State University,1,NC,1,2,7,1,1,14425,77,20,40,36,43,39,97,16,1880
Elizabethtown College,2,PA,1,2,9,2,1,49080,79,70,75,72,78,65,100,12,1931
Elmhurst University,2,IL,1,2,7,2,1,55222,71,56,68,59,75,66,100,13,3482
Elmira College,2,NY,1,1,7,2,1,50503,94,60,63,47,72,65,100,8,775
Elon University,2,NC,1,3,9,2,1,55647,78,79,83,78,87,79,73,12,7014
Embry-Riddle Aeronautical University-Daytona Beach,2,FL,1,3,9,2,1,57754,72,34,62,59,72,58,96,18,6938
Embry-Riddle Aeronautical University-Prescott,2,AZ,1,2,7,2,1,58036,74,40,70,68,75,70,95,17,2871
Emerson College,2,MA,1,3,7,2,1,75944,45,76,79,77,80,75,83,13,5471
Emmanuel College,2,GA,1,1,5,2,1,34256,78,27,34,28,42,29,98,15,809
Emmanuel College,2,MA,1,2,8,2,1,63265,74,65,70,70,70,63,100,13,2031
Emmaus Bible College,2,IA,1,1,5,2,1,30770,99,52,60,41,72,80,100,7,168
Emory & Henry College,2,VA,1,2,9,2,1,52865,87,41,51,44,58,44,100,12,1268
Emory University,2,GA,1,4,9,2,1,75594,13,83,90,87,92,88,61,9,15214
Emporia State University,1,KS,1,3,9,2,1,21413,88,32,50,42,54,40,96,17,4999
Endicott College,2,MA,1,2,9,2,1,56373,77,76,78,73,81,63,98,13,4398
Erskine College,2,SC,1,1,9,2,1,53975,63,36,40,35,48,27,100,15,809
Eureka College,2,IL,1,1,5,2,0,40789,87,42,51,48,54,35,100,12,485
Evangel University,2,MO,1,2,9,2,1,39977,64,44,57,56,59,65,100,15,2166
Fairfield University,2,CT,1,3,9,2,1,71860,56,82,84,83,85,78,96,12,5285
Fairleigh Dickinson University-Florham Campus,2,NJ,1,2,9,2,1,53537,85,53,62,59,64,57,100,11,3345
Fairleigh Dickinson University-Metropolitan Campus,2,NJ,1,3,8,2,1,53540,85,38,53,51,55,57,100,15,4265
Fairmont State University,1,WV,1,2,8,2,1,20914,99,28,46,46,46,20,97,14,3260
Faith Baptist Bible College and Theological Seminary,2,IA,1,1,9,2,1,29937,56,45,53,65,44,66,100,15,368
Farmingdale State College,1,NY,1,3,7,2,1,25346,73,31,52,50,56,48,74,17,8835
Faulkner University,2,AL,1,2,9,2,1,37590,65,12,17,15,19,12,100,13,2358
Fayetteville State University,1,NC,1,3,9,1,1,17626,82,23,37,31,41,37,81,15,5857
Felician University,2,NJ,1,2,9,2,1,53380,92,28,52,38,57,51,99,14,2351
Ferris State University,1,MI,1,4,9,2,1,25970,85,36,55,52,57,40,94,15,9078
Ferrum College,2,VA,1,1,8,2,1,53080,76,24,34,29,43,31,100,12,907
Finlandia University,2,MI,1,1,5,2,1,38492,78,13,20,15,29,21,100,13,376
Fisher College,2,MA,1,2,7,2,1,55700,72,32,38,37,39,35,98,12,1238
Fisk University,2,TN,1,1,7,1,1,39206,61,38,45,39,47,38,94,15,864
Fitchburg State University,1,MA,1,3,8,2,1,25620,85,37,57,54,60,52,99,13,5289
Five Towns College,3,NY,1,1,9,2,1,44085,46,30,42,46,30,42,100,10,604
Flagler College,2,FL,1,2,7,2,1,39210,74,50,58,50,62,52,100,15,2698
Florida Agricultural and Mechanical University,1,FL,1,3,9,1,1,24153,35,28,55,45,60,53,96,14,8947
Florida Atlantic University,1,FL,1,5,9,2,1,23969,78,37,55,52,58,57,89,21,26572
Florida College,2,FL,1,1,5,2,1,32250,83,22,28,23,31,43,93,11,460
Florida Gulf Coast University,1,FL,1,4,9,2,1,20490,89,36,56,50,61,51,78,22,14213
Florida Institute of Technology,2,FL,1,3,9,2,1,58534,66,53,66,64,72,61,92,14,5596
Florida International University,1,FL,1,5,9,2,1,23997,64,42,67,63,70,69,96,24,50736
Florida Memorial University,2,FL,1,2,7,1,1,31564,57,21,32,26,36,31,85,15,889
Florida Southern College,2,FL,1,2,9,2,1,55100,61,64,68,64,70,60,100,14,3201
Florida State University,1,FL,1,5,9,2,1,23476,37,70,83,79,86,87,96,22,41827
Fontbonne University,2,MO,1,1,9,2,1,44696,78,49,61,53,67,57,99,10,1049
Fordham University,2,NY,1,4,9,2,1,81186,58,78,83,83,83,79,95,14,16555
Fort Hays State University,1,KS,1,4,9,2,1,19364,90,29,50,50,50,41,96,15,10209
Fort Lewis College,1,CO,1,2,7,2,1,25970,93,30,44,42,46,41,95,14,2936
Fort Valley State University,1,GA,1,2,8,1,1,20704,72,22,45,30,58,43,100,21,2585
Framingham State University,1,MA,1,2,8,2,1,28000,84,37,50,46,52,46,89,11,4560
Francis Marion University,1,SC,1,2,9,2,1,24351,86,18,43,36,47,42,99,13,3396
Franciscan University of Steubenville,2,OH,1,2,8,2,1,42490,68,63,72,66,76,72,98,16,2957
Franklin and Marshall College,2,PA,1,2,5,2,0,80618,38,78,83,80,85,83,72,9,2363
Franklin College,2,IN,1,1,7,2,0,50226,95,57,61,55,68,58,100,11,1063
Franklin Pierce University,2,NH,1,2,9,2,1,60490,89,17,41,36,46,45,100,12,1980
Franklin W Olin College of Engineering,2,MA,1,1,5,2,0,79024,18,78,97,95,100,100,100,8,292
Freed-Hardeman University,2,TN,1,2,9,2,1,36300,88,58,65,63,66,47,100,13,1812
Fresno Pacific University,2,CA,1,2,7,2,1,45851,78,55,68,55,74,68,98,11,3098
Friends University,2,KS,1,2,7,2,1,45053,58,29,40,31,51,38,100,12,1465
Frostburg State University,1,MD,1,2,9,2,1,25798,86,25,48,41,55,44,95,13,4150
Furman University,2,SC,1,2,8,2,1,69880,71,77,82,80,83,79,96,9,2652
Gallaudet University,2,DC,1,2,9,2,1,39538,62,21,58,55,62,52,75,6,1297
Gannon University,2,PA,1,2,9,2,1,53020,84,51,65,58,70,56,99,13,4179
Gardner-Webb University,2,NC,1,2,9,2,1,46990,79,36,46,44,47,36,100,11,3205
Geneva College,2,PA,1,2,7,2,1,43620,79,63,70,67,74,63,93,11,1247
George Fox University,2,OR,1,2,9,2,1,54220,83,60,69,65,73,61,98,16,3709
George Mason University,1,VA,1,5,9,2,1,30669,91,49,70,65,75,65,79,16,32980
George Washington University,2,DC,1,5,9,2,1,78335,50,77,84,81,85,78,76,12,22468
Georgetown College,2,KY,1,2,7,2,1,55674,75,52,56,48,63,40,100,13,1368
Georgetown University,2,DC,1,5,9,2,1,81515,12,90,95,94,96,93,53,11,16919
Georgia College & State University,1,GA,1,3,9,2,1,28267,88,49,62,55,66,53,96,16,6554
Georgia Gwinnett College,1,GA,1,4,5,2,1,24928,93,4,21,16,25,19,86,17,9740
Georgia Institute of Technology-Main Campus,1,GA,1,5,9,2,1,29802,16,51,92,91,93,87,72,14,33682
Georgia Southern University,1,GA,1,5,9,2,1,23579,91,30,54,49,60,48,92,22,24478
Georgia Southwestern State University,1,GA,1,2,8,2,1,20796,86,20,34,24,41,28,99,16,2613
Georgia State University,1,GA,1,5,9,2,1,30834,100,34,56,49,62,54,97,27,35121
Georgian Court University,2,NJ,1,2,9,2,1,52091,80,44,58,48,63,46,99,10,1798
Gettysburg College,2,PA,1,2,5,2,1,76330,56,79,82,77,87,80,96,10,2573
Gods Bible School and College,2,OH,1,1,7,2,1,16206,65,40,60,43,69,46,100,8,210
Goldey-Beacom College,2,DE,1,2,9,2,1,25750,63,51,56,63,53,51,100,17,1101
Gonzaga University,2,WA,1,3,9,2,1,66661,76,75,85,82,88,77,100,11,7087
Gordon College,2,MA,1,2,8,2,1,40310,77,65,72,71,73,56,100,11,1734
Gordon State College,1,GA,1,2,5,2,1,17122,88,3,12,17,11,17,94,18,2408
Goshen College,2,IN,1,1,9,2,1,50570,93,55,65,58,72,49,100,9,834
Goucher College,2,MD,1,2,8,2,1,67700,82,52,59,52,62,57,95,8,1491
Governors State University,1,IL,1,2,9,2,1,24837,52,10,16,12,18,14,89,10,3613
Grace Christian University,2,MI,1,2,7,2,1,25832,100,24,50,55,43,39,97,16,766
Grace College and Theological Seminary,2,IN,1,2,9,2,1,40204,83,69,72,74,70,63,100,20,1906
Graceland University-Lamoni,2,IA,1,2,9,2,1,46380,67,39,47,39,60,35,100,13,1261
Grambling State University,1,LA,1,3,9,1,1,25663,72,12,29,20,38,26,96,24,5069
Grand Canyon University,3,AZ,1,5,9,2,1,32100,83,37,45,45,45,39,100,20,93809
Grand Valley State University,1,MI,1,5,9,2,1,26220,92,41,67,63,69,58,91,15,21161
Grand View University,2,IA,1,2,7,2,1,45172,100,39,51,43,58,41,100,12,1730
Greensboro College,2,NC,1,1,7,2,1,32984,88,26,30,23,40,22,100,10,861
Greenville University,2,IL,1,2,7,2,1,43692,80,45,48,39,62,42,99,11,946
Grinnell College,2,IA,1,2,5,2,0,76098,11,82,87,86,88,78,100,9,1470
Guilford College,2,NC,1,2,7,2,1,56710,82,45,55,48,63,44,99,12,1473
Gustavus Adolphus College,2,MN,1,2,5,2,1,63270,73,74,78,74,82,72,99,12,2225
Gwynedd Mercy University,2,PA,1,2,9,2,1,54329,91,51,67,58,72,43,100,10,2146
Hamilton College,2,NY,1,2,5,2,0,76700,14,87,92,91,92,90,62,9,2060
Hamline University,2,MN,1,2,9,2,1,59091,76,58,65,59,69,57,100,13,2802
Hampden-Sydney College,2,VA,1,1,5,2,0,66982,37,57,65,65,0,66,99,9,877
Hampshire College,2,MA,1,1,5,2,0,69070,75,53,62,65,61,60,100,11,505
Hampton University,2,VA,1,2,9,1,1,46198,80,40,57,52,59,47,87,13,3411
Hannibal-LaGrange University,2,MO,1,1,7,2,1,37450,65,32,36,34,38,44,95,10,664
Hanover College,2,IN,1,2,9,2,1,55490,73,62,63,56,70,58,100,11,1039
Hardin-Simmons University,2,TX,1,2,9,2,1,45957,95,40,52,48,55,42,99,15,1986
Harding University,2,AR,1,2,9,2,1,34538,54,49,67,64,70,48,99,16,4539
Hartwick College,2,NY,1,2,7,2,1,64769,96,53,57,52,61,46,100,12,1148
Harvard University,2,MA,1,5,9,2,1,78028,4,86,97,96,98,94,73,7,26566
Harvey Mudd College,2,CA,1,1,5,2,0,82236,10,88,94,93,96,92,70,9,879
Hastings College,2,NE,1,1,7,2,1,48494,71,42,49,41,60,43,100,13,1012
Haverford College,2,PA,1,2,5,2,0,81570,18,84,90,91,90,92,49,8,1401
Hawaii Pacific University,2,HI,1,2,9,2,1,50384,85,31,42,34,46,37,100,18,3062
Heidelberg University,2,OH,1,2,7,2,1,47670,86,52,57,48,71,50,100,15,1226
Hellenic College-Holy Cross Greek Orthodox School of Theology,2,MA,1,1,7,2,0,41282,76,58,58,59,56,80,100,7,145
Henderson State University,1,AR,1,2,8,2,1,27094,75,24,37,31,42,30,97,14,2884
Hendrix College,2,AR,1,2,7,2,0,50550,68,70,73,70,76,69,100,11,1153
High Point University,2,NC,1,3,9,2,1,59408,80,65,70,67,72,60,91,17,6329
Hilbert College,2,NY,1,1,7,2,1,39030,93,52,55,56,54,45,100,12,833
Hiram College,2,OH,1,2,7,2,1,38772,93,51,53,42,67,48,100,13,989
Hobart William Smith Colleges,2,NY,1,2,7,2,0,78650,67,68,73,69,77,77,94,9,1792
Hofstra University,2,NY,1,4,9,2,1,68628,68,60,70,68,71,63,98,13,10023
Holy Cross College,2,IN,1,1,5,2,1,47500,86,36,38,42,33,44,79,14,465
Holy Family University,2,PA,1,2,9,2,1,48226,77,51,56,50,58,47,100,13,2855
Holy Names University,2,CA,1,2,8,2,1,59002,95,50,58,52,60,58,100,9,877
Hood College,2,MD,1,2,9,2,1,60994,77,56,66,62,68,68,100,10,1573
Hope College,2,MI,1,2,5,2,1,50820,92,73,81,74,85,69,99,11,3050
Hope International University,2,CA,1,2,7,2,1,52054,40,24,42,30,50,40,97,13,1071
Houghton College,2,NY,1,1,7,2,1,30152,79,57,65,58,69,47,100,12,875
Houston Baptist University,2,TX,1,2,9,2,1,50348,85,31,44,36,49,39,100,16,3697
Howard Payne University,2,TX,1,1,7,2,1,43522,59,24,35,27,47,29,90,10,806
Howard University,2,DC,1,4,9,1,1,48214,35,53,64,60,65,58,100,13,10845
Huntingdon College,2,AL,1,1,7,2,1,40728,69,33,44,39,52,44,100,15,860
Huntington University,2,IN,1,2,9,2,1,41010,79,59,69,65,71,63,99,12,1228
Husson University,2,ME,1,2,9,2,1,34586,86,33,54,46,62,46,98,14,3122
Huston-Tillotson University,2,TX,1,2,7,1,1,25652,50,20,33,37,28,30,100,16,1034
Illinois College,2,IL,1,2,7,2,1,46476,75,62,64,56,71,53,100,13,1213
Illinois Institute of Technology,2,IL,1,3,9,2,1,71080,66,37,71,71,71,64,100,12,6091
Illinois State University,1,IL,1,5,9,2,1,32151,92,48,67,61,72,55,95,19,18819
Illinois Wesleyan University,2,IL,1,2,5,2,1,67124,45,76,81,81,82,85,100,12,1627
Immaculata University,2,PA,1,2,9,2,1,46470,80,56,69,63,72,63,100,9,2195
Indiana Institute of Technology,2,IN,1,2,9,2,1,43913,65,26,40,40,40,29,100,15,1974
Indiana State University,1,IN,1,3,9,2,1,24360,94,28,41,40,42,32,96,16,8747
Indiana University of Pennsylvania-Main Campus,1,PA,1,3,9,2,1,28770,94,41,57,50,61,42,100,22,8897
Indiana University-Bloomington,1,IN,1,5,9,2,1,27299,85,69,81,78,83,72,79,17,41847
Indiana University-Purdue University-Indianapolis,1,IN,1,5,9,2,1,24170,84,38,57,54,58,48,90,13,27747
Indiana University-South Bend,1,IN,1,2,7,2,1,21293,89,18,38,35,41,35,86,12,4044
Indiana University-Southeast,1,IN,1,2,7,2,1,22515,90,22,39,34,42,33,87,12,3751
Indiana Wesleyan University-Marion,2,IN,1,2,8,2,1,42002,92,62,71,62,75,64,100,12,2888
Institute of American Indian and Alaska Native Culture and Arts Development,1,NM,1,1,7,2,1,23383,100,4,29,10,43,21,88,9,434
Iona College,2,NY,1,2,8,2,1,63400,93,51,62,61,63,52,100,15,3233
Iowa State University,1,IA,1,5,9,2,1,22152,91,51,76,73,80,62,93,18,29060
Iowa Wesleyan University,2,IA,1,1,7,2,1,47290,82,14,23,15,33,15,97,12,686
Ithaca College,2,NY,1,3,9,2,1,65609,78,72,77,73,80,70,98,10,5766
Jackson State University,1,MS,1,3,9,1,1,25326,62,29,39,36,41,38,99,15,6541
Jacksonville State University,1,AL,1,3,9,2,1,22633,76,26,50,42,56,41,99,19,7781
Jacksonville University,2,FL,1,2,9,2,1,60750,78,40,48,42,53,37,97,13,4264
James Madison University,1,VA,1,5,9,2,1,29288,86,65,82,77,85,78,58,16,21433
John Brown University,2,AR,1,2,8,2,1,42128,53,61,70,64,75,64,99,15,1969
John Carroll University,2,OH,1,2,8,2,1,63140,88,70,76,69,82,67,99,13,3081
John Paul the Great Catholic University,2,CA,1,1,5,2,0,47743,79,62,62,58,67,43,100,20,334
Johns Hopkins University,2,MD,1,5,9,2,1,77977,8,87,95,93,96,95,71,6,27543
Johnson & Wales University-Charlotte,2,NC,1,2,7,2,1,54540,82,31,36,35,36,47,100,15,1345
Johnson & Wales University-Providence,2,RI,1,3,9,2,1,58394,88,51,57,54,60,53,100,15,5221
Johnson C Smith University,2,NC,1,2,7,1,1,33444,45,27,39,31,45,37,99,9,1216
Johnson University,2,TN,1,1,9,2,1,30826,81,58,62,59,66,68,94,10,941
Johnson University Florida,2,FL,1,1,5,2,1,30266,42,14,25,11,41,25,98,8,148
Judson University,2,IL,1,2,9,2,1,44580,62,57,67,60,74,66,97,11,1127
Juniata College,2,PA,1,2,7,2,1,66376,74,73,76,74,77,76,100,11,1340
Kalamazoo College,2,MI,1,2,5,2,0,68832,80,69,76,73,79,79,100,10,1477
Kansas City Art Institute,2,MO,1,1,5,2,0,56700,60,54,62,57,64,57,100,9,713
Kansas State University,1,KS,1,5,9,2,1,25730,96,41,68,66,71,58,93,19,17919
Kansas Wesleyan University,2,KS,1,1,7,2,1,44840,68,33,39,29,52,30,100,12,830
Kean University,1,NJ,1,4,9,2,1,30710,79,24,48,43,52,43,95,16,12216
Keene State College,1,NH,1,2,8,2,1,29984,88,54,60,61,59,53,99,15,3378
Keiser University-Ft Lauderdale,2,FL,1,4,9,2,1,48704,96,54,55,51,57,66,98,16,28770
Kennesaw State University,1,GA,1,5,9,2,1,27253,82,17,49,44,53,43,91,22,35814
Kent State University at Kent,1,OH,1,5,9,2,1,29600,87,62,67,60,71,59,95,19,24475
Kentucky Christian University,2,KY,1,1,7,2,1,37314,58,32,36,24,55,34,100,12,572
Kentucky Mountain Bible College,2,KY,1,1,5,2,1,15950,48,33,50,38,75,50,100,14,57
Kentucky State University,1,KY,1,2,9,1,1,18008,65,21,38,37,40,35,98,13,1820
Kentucky Wesleyan College,2,KY,1,1,5,2,1,44308,67,33,46,33,63,42,100,12,757
Kenyon College,2,OH,1,2,5,2,0,80270,37,83,87,86,88,45,80,9,1858
Kettering College,2,OH,1,1,9,2,1,29223,25,38,45,33,48,25,98,12,1170
Kettering University,2,MI,1,2,7,2,1,58080,86,10,70,69,75,65,100,12,2138
Keuka College,2,NY,1,2,8,2,1,52826,94,45,50,47,51,44,100,12,1413
Keystone College,2,PA,1,2,7,2,1,32300,82,36,45,53,41,39,100,13,1536
King University,2,TN,1,2,9,2,1,47276,66,41,45,41,49,38,100,11,1850
King's College,2,PA,1,2,7,2,1,59174,96,59,67,61,74,59,100,13,2390
Knox College,2,IL,1,2,5,2,0,64219,70,65,75,70,78,71,100,11,1126
Kutztown University of Pennsylvania,1,PA,1,3,9,2,1,27730,97,37,54,49,58,45,98,19,7043
Kuyper College,2,MI,1,1,7,2,1,35655,69,3,42,35,48,67,100,8,109
La Roche University,2,PA,1,2,9,2,1,47834,98,43,52,46,56,22,99,12,1020
La Salle University,2,PA,1,2,9,2,1,50500,81,53,60,57,62,51,100,12,4313
La Sierra University,2,CA,1,2,9,2,1,47139,66,34,56,56,56,44,100,16,1668
Lafayette College,2,PA,1,2,5,2,1,75934,41,85,88,87,89,87,66,10,2661
LaGrange College,2,GA,1,1,7,2,1,48950,75,39,46,37,61,42,100,9,829
Laguna College of Art and Design,2,CA,1,1,7,2,1,56080,83,47,70,76,68,59,100,8,686
Lake Erie College,2,OH,1,1,7,2,1,48940,55,36,45,36,57,28,100,13,920
Lake Forest College,2,IL,1,2,7,2,1,66400,64,67,73,70,75,72,100,12,1695
Lake Superior State University,1,MI,1,2,5,2,1,27666,73,30,51,52,51,41,98,16,1681
Lakeland University,2,WI,1,2,8,2,1,46828,80,35,42,39,48,33,100,15,1769
Lamar University,1,TX,1,4,9,2,1,23842,88,17,39,33,43,30,90,18,13685
Lancaster Bible College,2,PA,1,2,9,2,1,41924,96,47,57,52,61,79,100,15,1510
Lander University,1,SC,1,2,7,2,1,26320,69,36,53,52,54,49,100,16,3387
Lasell University,2,MA,1,2,7,2,1,62000,85,61,67,65,68,57,100,12,1942
Lawrence Technological University,2,MI,1,2,9,2,1,55003,81,21,55,53,61,40,100,11,2301
Lawrence University,2,WI,1,2,5,2,0,65910,75,69,80,74,85,81,100,8,1453
Le Moyne College,2,NY,1,2,9,2,1,54060,73,68,76,72,78,70,100,12,3253
Le Moyne-Owen College,2,TN,1,1,5,1,0,20176,98,7,18,12,22,19,100,11,617
Lebanon Valley College,2,PA,1,2,9,2,1,63590,78,64,68,65,70,54,100,11,1818
Lee University,2,TN,1,2,9,2,1,34120,83,46,58,46,64,48,98,13,4096
Lees-McRae College,2,NC,1,1,7,2,1,42640,59,36,40,30,49,33,100,11,826
Lehigh University,2,PA,1,3,9,2,1,74865,46,78,87,85,90,86,82,10,6678
Lenoir-Rhyne University,2,NC,1,2,9,2,1,58910,86,39,48,42,53,42,100,12,2504
Lesley University,2,MA,1,2,9,2,1,51170,87,49,60,52,63,55,100,10,3038
LeTourneau University,2,TX,1,2,7,2,1,47986,54,54,64,63,65,62,98,15,2102
Lewis & Clark College,2,OR,1,2,9,2,1,74452,79,67,74,72,75,78,100,12,3072
Lewis University,2,IL,1,3,9,2,1,50424,71,44,60,53,66,52,100,13,5393
Lewis-Clark State College,1,ID,1,2,6,2,1,19042,100,21,32,30,34,14,90,15,2460
Liberty University,2,VA,1,5,9,2,1,42114,99,45,65,61,69,45,98,17,81369
Life Pacific University,2,CA,1,1,7,2,1,32611,94,32,47,52,44,52,97,10,518
Life University,2,GA,1,2,9,2,1,40311,96,24,41,29,49,29,95,14,2958
LIM College,3,NY,1,2,7,2,1,53804,84,41,56,47,57,58,98,16,1809
Limestone University,2,SC,1,2,7,2,1,43481,87,27,30,26,38,21,99,13,1812
Lincoln College,2,IL,1,1,7,2,1,31361,74,6,13,6,19,26,100,15,831
Lincoln Memorial University,2,TN,1,3,9,2,1,40350,70,43,57,50,61,40,93,10,4859
Lincoln University,1,PA,1,2,7,1,1,26546,80,32,49,43,52,45,100,13,1948
Lindenwood University,2,MO,1,3,9,2,1,33040,75,39,53,48,58,44,100,13,6388
Linfield University-McMinnville Campus,2,OR,1,2,7,2,1,62182,85,55,67,60,72,61,100,10,1381
Lipscomb University,2,TN,1,2,9,2,1,55228,74,64,71,65,75,61,100,14,4675
Living Arts College,3,NC,1,1,5,2,0,31783,47,38,38,39,33,39,93,6,292
Livingstone College,2,NC,1,1,5,1,1,28390,51,14,23,19,27,23,96,13,928
Lock Haven University,1,PA,1,2,7,2,1,27622,95,43,54,48,59,45,99,15,2953
Long Island University,2,NY,1,4,9,2,1,59048,93,33,46,43,48,42,98,13,10527
Longwood University,1,VA,1,2,7,2,1,31800,90,52,65,61,67,55,97,13,4415
Loras College,2,IA,1,2,7,2,1,46887,72,60,67,56,80,58,100,11,1328
Louisiana College,2,LA,1,2,7,2,1,28540,76,18,27,18,44,17,95,11,1085
Louisiana State University and Agricultural & Mechanical College,1,LA,1,5,9,2,1,33836,71,43,66,64,67,57,95,22,31388
Louisiana State University-Alexandria,1,LA,1,2,5,2,1,20937,58,19,27,24,30,24,90,15,2906
Louisiana State University-Shreveport,1,LA,1,3,9,2,1,21700,91,23,38,34,40,33,96,24,7484
Louisiana Tech University,1,LA,1,4,9,2,1,24045,66,39,58,55,63,47,98,20,8674
Lourdes University,2,OH,1,2,9,2,1,43707,75,35,58,53,60,45,100,13,977
Loyola Marymount University,2,CA,1,4,9,2,1,72936,46,72,79,78,79,79,100,11,8679
Loyola University Chicago,2,IL,1,4,9,2,1,65788,77,65,72,70,73,66,99,14,16166
Loyola University Maryland,2,MD,1,3,9,2,1,72480,84,77,81,77,83,73,99,12,4962
Loyola University New Orleans,2,LA,1,2,9,2,1,61980,78,54,62,60,64,58,100,14,4414
Lubbock Christian University,2,TX,1,2,8,2,1,39706,95,32,43,43,43,28,98,12,1357
Luther College,2,IA,1,2,5,2,1,61175,76,66,73,68,77,66,100,11,2074
Lycoming College,2,PA,1,2,5,2,1,61230,75,54,67,62,73,62,100,11,1033
Lynn University,2,FL,1,2,9,2,1,60268,83,44,50,48,52,43,99,18,3346
Lyon College,2,AR,1,1,5,2,0,45144,27,37,46,40,53,33,100,10,626
Macalester College,2,MN,1,2,5,2,0,76357,31,85,90,88,91,87,89,10,2298
Madonna University,2,MI,1,2,9,2,1,40870,52,39,63,43,72,53,97,11,2308
Magdalen College,2,NH,1,1,5,2,0,36456,95,56,59,58,59,79,100,7,71
Maharishi International University,2,IA,1,2,9,2,1,28730,95,20,35,40,30,36,100,13,1959
Maine College of Art & Design,2,ME,1,1,7,2,0,55680,72,39,44,50,41,41,100,9,415
Maine Maritime Academy,1,ME,1,1,7,2,1,29248,58,54,72,72,73,71,91,9,1121
Malone University,2,OH,1,2,8,2,1,48100,78,52,60,52,65,53,100,12,1219
Manchester University,2,IN,1,2,9,2,1,47362,76,50,54,49,58,48,100,14,1341
Manhattan Christian College,2,KS,1,1,5,2,1,32355,48,21,36,59,7,18,100,11,147
Manhattan College,2,NY,1,2,8,2,1,68420,75,64,77,75,79,76,100,11,3697
Manhattan School of Music,2,NY,1,2,9,2,1,72780,49,64,72,72,73,40,88,6,1059
Manhattanville College,2,NY,1,2,9,2,1,57540,83,54,61,57,63,61,100,9,2201
Mansfield University of Pennsylvania,1,PA,1,2,7,2,1,25158,94,41,54,58,51,38,100,18,1590
Maranatha Baptist University,2,WI,1,2,9,2,1,30410,80,42,50,46,54,53,100,12,782
Marian University,2,IN,1,2,9,2,1,53231,73,45,64,52,76,58,100,14,4339
Marian University,2,WI,1,2,8,2,1,40950,76,41,56,50,59,46,100,12,1400
Marietta College,2,OH,1,2,7,2,1,52146,83,43,51,47,59,36,99,8,1320
Marist College,2,NY,1,3,9,2,1,63185,60,75,82,79,84,78,95,16,6085
Marquette University,2,WI,1,4,9,2,1,63262,86,64,81,77,85,73,100,13,11532
Mars Hill University,2,NC,1,2,7,2,1,47489,80,28,34,31,36,26,99,9,1055
Marshall University,1,WV,1,4,9,2,1,23323,98,34,53,49,55,42,99,17,10522
Martin Luther College,2,MN,1,1,7,2,1,28690,91,54,75,71,78,68,100,12,869
