Day,Language,Number_of_Foods,SaltUse,Energy (kcal),Protein (gm),Carbs (gm),Sugar (gm),Fiber (gm),Fat (gm),Cholesterol,Calcium (mg),Caffeine (mg),Alcohol (gm),Food_Comparison,Water (gm)
4,1,12,2,2476,52.96,360.37,175.16,15.2,96.41,151,812,27,0,2,720
4,1,13,2,1144,31.28,169.49,94.86,7.3,39.75,89,884,11,0,2,420
6,1,15,2,1866,64.64,266.01,122.3,10,59.12,384,983,9,0,2,120
3,1,8,2,1305,53.74,144.36,59.99,11,58.98,137,1053,17,0,2,0
2,1,3,2,707,24.78,102.15,36.63,6.8,22.06,41,449,0,0,3,0
3,1,9,2,1770,44.23,244.11,101.14,10.3,69.5,133,944,7,0,2,840
2,1,12,2,1598,76.37,199.76,121.98,8.5,60.9,174,766,238,0,2,480
5,1,14,2,1922,82.83,229.76,103.88,15.7,75.17,246,951,382,0,2,1980
6,1,27,2,1325,59.84,154.87,61.2,22.6,58.52,146,1179,57,0,2,2070
4,1,30,2,2175,79.52,247.25,100.03,22.6,90.33,271,949,123,15.9,2,660
4,1,10,2,1420,69.81,191.96,108.78,12.2,45.38,124,765,2,0,2,1014
4,1,16,2,2041,124.87,214.06,98.13,16,77.34,340,1158,115,0,2,0
2,1,10,2,1769,73.37,247.67,110.91,20,55.59,130,973,56,0,2,480
2,1,12,2,4891,239.28,602.63,164.49,28.7,168.91,895,517,0,0,2,2520
3,1,13,2,1517,142.27,110.85,26.72,18.9,56.52,256,914,148,0,1,3150
1,1,15,1,1943,73.27,211.17,76.97,9.9,89.99,261,770,584,0,2,120
2,1,9,2,1701,47.82,222.31,86.14,6.4,71.76,135,361,5,0,2,315
3,1,20,2,1205,48.42,162.69,85.17,13.8,43.92,325,884,72,0,2,1320
1,1,17,2,2046,75.65,305.27,144.57,21.3,63.37,165,1046,1,0,2,630
4,1,12,2,1422,53.25,222.79,90.15,16.1,39.44,99,918,32,0,2,253.5
2,1,5,2,604,16.18,60.92,39.58,0,32.65,10,620,0,0,2,0
4,1,7,2,1101,53.12,86.37,48.8,3.4,60.76,179,341,92,0,2,0
2,1,17,2,1589,47.27,226.84,106.6,13.7,57.89,117,1058,9,0,1,75
1,1,14,2,2072,136.54,148.39,85.86,21.1,108.07,1067,627,749,0,3,0
1,1,19,2,1792,40.37,221.56,126.36,10.9,59.02,151,436,33,34.6,2,1200
1,1,9,2,922,47.83,81.06,33.12,9.1,30.18,158,347,41,22.3,2,300
1,1,9,2,2388,90.86,275.54,89.76,19.4,105.5,284,1866,0,0,2,0
4,1,17,1,2676,51.09,262.84,114.89,16.9,149.72,533,624,69,14.4,2,1080
6,1,14,2,1678,35.19,239.63,108.46,11.8,37.77,100,354,69,39.6,2,720
1,1,20,2,2323,98.73,252,79.65,18.7,101.56,237,1227,333,0,2,507
6,1,12,2,2247,109.21,180.57,49.38,12.7,121.88,1301,1406,135,0,3,480
7,1,9,2,872,23.94,135.82,114.15,1.8,26.15,52,781,451,0,3,0
3,1,25,2,2025,101.36,248.01,44.47,20.8,68.6,218,613,354,0,2,720
5,1,12,1,901,22.67,106.28,58.86,7.1,43.96,65,455,147,0,3,480
4,2,20,2,1398,35.35,156.02,48.57,10.2,73.44,128,640,47,0,2,555
5,1,18,2,1106,54.91,140.23,84.9,7.1,36.4,124,1117,1,0,2,0
5,1,6,2,1068,32.2,150.83,65.4,8.2,38.27,70,472,0,0,3,0
4,1,11,2,2129,69.07,312.18,142.15,15,66.99,248,1327,2,0,2,960
3,1,24,1,2030,65.22,198.49,117.65,14.3,112.31,390,522,72,0,3,507
3,1,7,2,940,45.43,71.9,17.63,5.2,53.04,453,605,4,0,2,45
3,1,22,2,2551,49.03,365.53,267.75,4.3,104.34,160,515,323,0,2,480
6,1,18,2,1257,52.41,194.4,71.86,14.2,32.01,94,1434,74,0,2,1800
3,1,14,1,1452,93.61,178.9,74.26,10.2,39.79,204,1206,0,0,2,15
2,1,8,2,1075,39.38,119.64,54.92,6.1,49.39,105,139,0,0,2,0
2,1,17,2,1983,86.44,215.66,112.31,22.7,95.28,200,528,4,0,2,2460
1,1,18,2,1407,60.01,198.19,76.62,16.6,44.97,124,859,0,0,2,315
3,1,16,2,1583,53.87,251.82,133.42,18.1,43.07,110,1560,0,0,2,0
1,1,17,2,1188,50.89,160.99,95.99,3.6,38.6,143,1126,0,0,3,105
4,1,28,2,3506,144.02,365.03,139.01,61.6,182.84,148,2508,63,0,1,1597.05
7,1,20,1,1650,64.11,188.29,91.45,18.9,73.19,356,849,2,0,2,780
2,1,9,2,832,75.12,72.82,27.22,6,26.2,146,589,2,0,2,0
3,1,18,1,2715,60.49,475.06,281.19,6.6,68.06,143,938,118,0,2,0
6,1,9,2,827,41.46,67.74,41.86,3.8,44.93,86,551,1,0,2,360
1,1,15,2,1671,44.46,217.56,98.2,13.1,54.98,79,726,112,19.1,2,480
1,1,10,2,3719,104.13,489.81,166.86,20.6,149.96,697,1586,3,0,2,360
2,1,11,2,1237,47.39,157.83,75.11,15.1,46.38,133,481,0,0,2,300
4,1,24,2,1501,54.22,216.81,106.37,27.9,50.28,90,955,144,0,2,2880
6,2,18,2,1824,57.99,341.99,248.36,12.9,29.94,166,769,78,0,2,0
3,1,8,2,619,13.65,87.87,72,3.6,24.3,0,413,0,0,2,0
1,1,12,2,1495,60.14,197.96,73.28,13.9,52.44,464,596,96,0,2,2100
2,1,8,2,423,39,25.62,11.05,2.6,18.04,120,68,0,0,2,345
7,1,18,2,1848,72.46,209.57,110.9,10.8,79.93,241,1439,0,0,2,480
7,1,4,2,1441,30.28,217.16,147.47,3.7,52.71,88,66,0,0,3,0
1,1,7,2,2213,74.17,277.23,89.92,14.4,90.52,168,901,0,0,2,120
1,1,17,2,3107,113.19,393.74,202.15,16.2,123.42,825,1979,66,0,2,0
3,1,19,2,1939,86.64,287.04,183.65,13.6,52.54,200,1482,146,0,2,720
4,1,5,2,1093,63.56,85.69,14.07,5.5,56.18,269,695,0,0,3,720
5,1,6,2,689,26.32,84.31,28.45,5.8,27.34,45,508,2,0,2,840
3,1,14,2,2267,54.37,398.9,262.89,9.7,53.44,111,616,573,0,2,360
4,1,21,2,2252,112.02,188.2,58.54,13.3,112.25,416,1913,74,6.4,2,3043.35
4,5,16,2,1611,80.9,172.49,42.1,9.8,65.59,294,980,2,0,2,1215
5,1,10,2,1587,56.29,152.07,46.02,2.7,82.98,414,309,0,0,3,1335
1,1,15,2,2977,178.81,410.15,156.06,15,68.13,409,414,216,0,1,507
6,1,11,2,1099,76.8,97.77,54.86,1.6,43.57,479,543,46,0,2,30
3,2,9,2,1346,57.68,168.57,78.12,7.2,48.42,131,703,126,0,2,507
4,1,12,2,1878,106.23,175.19,46.76,22.5,86.33,526,1159,348,0,2,1440
3,1,10,2,1079,54.5,100.92,18.2,5,50.1,142,271,2,0,2,150
1,1,14,2,1338,28.36,189.13,85.14,7.2,52.52,76,333,0,0,2,240
1,1,14,2,622,28.16,75.43,50.27,4.2,24.01,81,576,0,0,2,75
3,1,9,2,1408,48.95,187.17,71.19,5.8,50.76,98,611,28,0,2,0
2,1,12,2,995,62.76,111.08,27.75,12.5,33.69,173,233,192,0,2,660
2,1,9,1,2241,95.15,281.62,70.73,24,84.52,154,1316,0,0,2,510
3,1,11,2,854,18.97,114.62,50.29,5.5,35.86,31,354,90,0,2,0
3,3,19,2,1927,57.71,276.55,154.13,19.3,68.49,308,1475,6,0,2,1200
5,1,13,2,1713,90.67,239.64,126.8,18.3,49.39,259,1126,36,0,2,0
2,1,15,2,3053,126.88,363.44,130.55,23.1,124.1,273,2183,6,0,2,240
3,1,17,2,2919,104.12,289.04,129.17,57.3,165.42,115,1064,0,0,1,5760
6,1,24,2,2834,116.26,259.77,59.78,15.7,116.28,654,1590,519,42.1,2,2700
5,1,15,2,1944,79.23,211.86,86.94,11.3,88.44,322,957,339,0,2,0
5,1,14,2,1073,24.74,177.94,103.9,5.5,29.91,69,491,1,0,1,0
4,1,19,2,2443,97.83,260.02,120.89,20.2,117.28,234,1230,192,0,2,240
2,1,11,2,3173,68.69,436.35,133.19,22.1,132.47,49,589,56,0,3,1260
2,1,22,2,1664,113.15,187.58,73.16,20.4,54.97,335,1015,2,0,2,1080
5,1,13,1,936,27.82,145.57,65.28,8.3,28.15,238,461,6,0,2,180
4,1,18,2,2110,84.08,197.37,74.95,17.7,111.55,500,1738,0,0,2,2355
3,1,8,2,1622,53.67,175.68,88.34,9.2,82.62,196,453,5,0,3,2640
3,1,19,2,2829,68.77,372.33,147.73,17.8,120.79,241,1394,75,0,1,1200
2,1,8,2,806,45.64,66.78,8.96,6.3,40.17,154,450,0,0,2,1107
6,1,24,1,3829,201.81,297.87,70.8,15.9,181.43,801,1142,34,30.2,2,1380
1,1,14,1,1432,57.15,176.93,52.28,23.9,58.54,282,1048,39,0,3,345
6,1,14,2,1257,74.16,124.48,76.06,12.5,50.44,434,1098,0,0,2,345
3,1,11,2,1524,55.07,134.36,29.36,8.1,85.68,258,612,187,0,2,345
1,1,7,2,1106,34.44,165.28,85.78,5.1,34.7,136,261,0,0,2,0
1,1,11,2,2969,172.06,253.19,3.69,16.5,93.8,506,413,0,56.9,2,2028
7,1,6,2,1040,20.34,170.29,36.71,6.3,31.23,16,417,0,0,2,240
3,2,16,2,1255,52.88,127.82,92.63,3.1,59.9,544,1309,2,0,3,760.84
1,1,11,2,853,25.6,124.6,72.33,8.3,28.39,48,926,0,0,2,360
2,1,16,2,893,44.85,59.37,24.18,7.4,55.67,90,501,0,0,2,915
4,1,16,1,1687,107.34,159.72,31.87,22,54.87,638,353,0,18.7,1,600
5,1,7,2,502,29.38,46.36,18.89,6.6,23.43,440,205,0,0,2,480
2,1,3,2,707,24.78,102.15,36.63,6.8,22.06,41,449,0,0,3,0
4,1,13,2,686,36.92,54.09,39.68,3.2,35.77,115,701,3,0,2,300
4,1,19,2,2452,93.65,289.39,107.37,18.6,103.19,334,718,0,0,2,1395
3,1,19,2,3206,99.31,428.41,160.81,21.2,120.31,224,2063,0,0,2,660
5,1,11,2,1811,47.65,264.71,137.92,8,63.63,91,624,0,0,2,0
4,2,19,2,1474,62.62,176.46,64.2,16.5,59.84,562,704,17,0,2,600
3,1,22,2,2563,69.12,357.9,154.69,36.2,78.05,234,1077,4,22.3,2,2115
4,1,11,2,1647,47.12,161.75,49.59,12.3,91.79,115,929,424,0,2,0
3,1,8,1,774,26.58,113.63,58.56,8,25.95,68,326,88,0,2,0
4,1,5,2,1616,81.77,143.56,15.63,7.5,78.17,219,1195,0,0,2,765
5,1,8,1,1474,49.69,170.49,86.97,8.8,69,131,334,9,0,2,540
7,1,12,2,2673,108.81,227.86,78.52,10.5,146.3,471,809,0,0,2,780
1,1,4,2,1193,35.18,158.52,51.5,8.7,49.55,66,757,0,0,2,3240
4,1,16,2,1223,66.77,168.32,121.31,10.2,32.87,175,1003,0,0,2,0
3,1,18,2,1794,77.61,167.49,90.24,8.4,90.56,310,763,234,0,2,1035
4,1,19,2,1881,67.61,190.5,70.99,16.3,95.23,871,1075,33,0,2,2025
6,1,10,2,1229,36.23,139.51,90.14,2.9,60.34,124,921,9,0,2,0
2,1,17,2,2789,113.87,372.43,209.08,16.7,94.38,474,1606,3,0,2,2160
2,1,4,2,1002,49.54,136.2,78.82,6.5,30.61,156,389,77,0,2,0
5,1,17,2,1752,42.87,248.9,83.81,14.8,66.58,93,509,160,0,2,330
5,1,5,2,1933,106.6,186.55,73.46,10.1,87.01,397,723,33,0,2,0
3,1,21,2,2190,71.96,307.45,95.27,30.9,80.74,343,959,235,0,2,1320
6,1,8,2,1609,43.87,205.18,66.51,14.1,70.24,78,167,1,0,2,0
5,1,8,1,1605,64.12,188.45,54.45,4.1,65.44,606,373,11,0,3,1521
2,1,13,2,1383,43.48,187.91,79.38,13.7,52.64,81,1091,68,0,2,360
3,1,18,2,2204,96.35,270.16,125.24,27.6,87.7,223,982,108,0,2,2748
5,1,29,2,2342,90.01,333.05,206.63,16.1,74.8,423,2215,14,0,2,360
2,1,16,2,1246,70.01,126.49,38.9,10,50.96,153,1236,236,0,1,994.99
1,1,16,1,3418,211.76,304.74,107.38,20.8,136.06,460,1889,7,18,2,105
1,1,14,1,1775,74.23,178.52,62.51,12.2,85.15,223,1484,0,0,2,1800
3,1,16,2,2556,113.99,264.45,104.33,16.8,117.81,358,846,0,0,1,720
5,1,19,2,3167,116.59,369.27,171.33,18.5,140.69,434,886,560,0,2,1734.45
