Day,Language,Number_of_Foods,SaltUse,Energy (kcal),Protein (gm),Carbs (gm),Sugar (gm),Fiber (gm),Fat (gm),Cholesterol,Calcium (mg),Caffeine (mg),Alcohol (gm),Food_Comparison,Water (gm)
4,1,13,2,1459,81.25,144.6,71.33,9.4,61.12,183,830,9,0,2,315
1,2,18,2,2494,89.26,291.23,91.46,24.9,110.78,594,634,158,0,2,240
3,1,13,2,2763,107.74,427.67,123.25,25.9,72.77,232,1142,0,0,3,1740
4,1,18,2,2186,127.81,211.2,91.34,6.5,91.15,554,865,45,0,2,720
2,2,17,2,1149,62.99,171.09,92.27,11,22.62,146,787,0,0,2,360
6,1,12,2,2287,57.89,289.35,141.28,13.2,100.92,134,898,102,0,2,930
2,1,13,2,3013,156.15,227.77,37.18,23.7,166.34,981,1008,276,0,2,1800
6,1,9,1,1808,82.49,158.35,21.18,9.2,93.28,949,924,43,0,2,1440
4,1,19,2,1851,72.29,266.78,29.43,18.4,55.5,124,641,0,0,2,300
7,5,18,2,1564,128.32,213.79,104.6,30.7,24.8,347,646,50,0,2,1800
2,2,11,2,1887,68.75,302.37,108.63,37.6,46.85,262,1043,129,0,2,0
6,1,17,2,1449,34.79,225.67,103.83,18.9,49.61,97,457,3,0,2,1470
3,1,19,2,1407,32,241.31,107.66,22.8,40.09,31,551,0,0,2,900
7,1,18,2,3040,89.83,412.18,166.58,17.4,115.97,299,1296,90,0,2,480
3,1,16,2,2370,100.03,285.19,180.07,22.5,93.61,306,1694,10,0,2,2028
4,1,17,2,2025,74.41,268.07,78.3,18.4,72.9,185,1249,8,0,2,435
2,1,18,2,2156,80.26,309.98,75.94,18.6,66.39,354,653,432,0,2,2610
2,1,12,2,2759,96.92,313.45,154.04,18.5,125.41,457,2647,13,0,2,870
4,1,7,2,3017,108.15,429.81,80.61,44.7,100.09,161,1780,0,0,2,960
3,1,15,2,1218,46.64,80.95,28.68,5.7,78.83,174,797,110,0,3,360
4,1,13,1,1742,51.9,245.42,128.67,9.1,62.89,270,456,0,0,2,600
3,1,16,2,3204,122.53,351.11,124.54,26.2,121.91,952,826,0,33.5,2,720
3,1,16,1,1617,54.77,188.31,110.79,7,72.62,431,749,29,0,2,315
1,2,14,2,836,24.7,137.23,51.14,10.4,22.59,102,280,0,0,2,210
1,3,14,2,1407,55.32,149.1,59.26,14.3,67.47,231,801,32,0,2,1521.68
2,1,6,2,1885,45.7,252.59,119.39,9.2,77.15,230,249,0,0,2,0
4,1,13,2,1372,123.02,107.44,21.73,3.7,45.89,402,432,0,0,2,2454
4,1,15,2,1350,67.46,116.68,87.38,8.1,70.93,268,1590,240,0,2,960
5,1,10,2,1199,54.87,163.15,51.78,9.1,36.86,302,605,0,0,2,315
2,1,15,2,1642,52.29,246.99,146.91,18.4,57.18,126,1132,0,0,2,1530
1,1,17,2,2320,52.69,276.96,144.47,20,113.46,253,886,5,0,1,1035
2,1,13,2,775,28.7,136.81,50.9,7.6,14.76,42,127,82,0,1,1521.68
5,1,9,2,1951,75.25,203.7,107.23,7,92.7,887,297,0,0,2,315
2,1,17,1,2769,87.34,392.86,174.47,18.3,98.15,393,793,96,0,3,885
1,1,21,2,2923,121.03,269.22,133.42,34.3,142.88,535,1512,144,23.3,2,1680
3,1,18,2,3067,136.56,300.74,129.11,36.8,154.97,561,2202,5,0,2,960
4,1,15,2,1436,32.02,251.46,111.79,27.6,34.96,93,419,41,0,2,390
1,1,11,2,796,24.72,117.76,44.37,12.4,27.57,51,376,144,0,2,1440
1,1,20,2,1617,124.49,139.39,40.25,8.3,60.34,552,385,96,0,1,1267.5
5,1,10,2,885,17.64,103.45,92.66,1.6,44.67,20,751,0,0,2,120
5,1,3,2,823,33.81,90.02,9.76,6.8,36.31,68,445,0,0,2,720
1,1,25,2,2314,88.71,271.46,42.14,26.4,87.47,183,924,9,17,2,1890
6,1,22,2,2160,81.45,338.33,183.23,26.4,62.18,404,687,0,0,2,720
4,1,14,2,2293,89.93,205.38,71.45,8.3,126.37,791,1168,28,0,2,1440
6,2,8,2,534,26.33,70.12,22.05,12.3,17.72,11,349,0,0,2,0
1,1,5,2,609,29.62,59.09,24.87,7.1,28.23,419,994,0,0,2,0
2,1,7,2,1959,54.44,170.2,93.61,6.6,120.89,388,1452,0,0,2,1920
4,1,8,2,1146,37.03,179.59,46.58,11.6,32.83,142,201,0,0,2,3042
2,1,7,1,1249,27.04,156.98,74.46,3.9,57.84,492,327,7,0,2,435
5,1,12,2,1424,32.15,223.52,107.46,9.4,46.11,68,560,278,0,2,960
2,1,31,2,2050,78.75,269.2,97.97,30.1,81.48,150,758,249,0,2,1050
1,1,16,2,2387,67.66,252.77,115.75,19,126.82,268,585,14,0,2,0
1,1,10,2,2685,81.97,330.8,184.61,6.2,117.8,216,200,205,0,2,0
1,2,5,2,1024,56.72,102.39,17.86,7.7,42.76,146,627,0,0,2,0
2,1,16,2,2454,75.27,234.02,134.67,9.1,101.02,409,1195,66,49.2,2,0
4,1,20,2,3573,138.28,523.81,323.53,17.9,104.77,711,1433,339,0,1,0
5,1,12,2,2871,78.1,337.63,177.71,22.4,104.04,197,854,38,41.4,2,750
3,1,6,2,805,24.64,134.49,48.74,7.7,21.8,39,700,97,0,2,1200
2,1,10,2,1735,66.26,220.03,78.51,14,65.72,167,961,39,0,2,1522.5
2,1,14,2,1194,51.42,115.42,32.82,8.1,58.88,138,570,6,0,2,300
3,1,16,2,2240,50.97,329.44,134.92,16.4,82.53,80,973,16,0,2,480
7,1,19,1,3911,105.25,675.06,355.35,17.6,93.27,297,1470,10,0,2,645
2,1,7,2,4050,181.36,446.23,77.29,27.7,169.29,379,2140,2,0,2,150
4,1,10,2,2894,69.69,352.73,205.25,17.6,141.71,213,713,77,0,2,600
3,1,19,2,2416,99.13,188.14,58.46,11.9,94.84,626,799,156,57.3,2,2700
4,1,9,2,2011,72.38,211.89,75.15,18.1,97.19,185,998,0,0,2,0
1,1,18,1,1521,46.59,110.68,52.59,4.4,98.77,181,249,288,0,2,720
5,1,13,2,1919,34.72,274.86,135.89,17.2,77.24,83,592,0,0,2,330
1,1,10,2,1898,130.62,100.61,49.96,13.5,109.17,1437,1359,192,0,2,1920
3,1,7,2,2126,90.32,229.86,134.77,6.2,96.38,336,876,99,0,2,0
6,1,23,2,1847,78.72,219.5,64.62,38.6,76.85,282,1161,60,0,2,1920
5,2,15,2,1657,98.92,190.47,50.97,4.3,52.25,246,466,288,0,2,435
2,1,7,2,1475,47.38,216.96,51.47,25.9,49.11,62,700,0,0,2,315
4,1,10,2,2100,98.83,150.79,55.61,10.7,95.15,967,461,147,37.4,2,4800
5,1,16,2,1485,54.03,183.95,82.07,13.9,61.84,123,1624,1,0,2,255
1,1,11,1,2238,93.04,238.82,105.56,17.2,103.33,403,373,192,0,3,720
3,1,14,2,1555,58.95,189,64.36,33.1,69.09,108,710,234,0,3,600
1,1,11,2,1741,72.39,235.38,62.13,23.6,56.85,143,1059,207,0,2,0
1,1,25,2,1489,46.87,193.24,69.24,24.4,62.72,38,520,9,0,3,360
5,1,12,2,1174,59.48,178.49,69.51,18.4,25.75,505,735,0,0,2,2880
6,1,13,2,825,14.97,81.81,63.76,2.9,49.79,47,492,72,0,3,2028.9
3,1,11,2,1382,65.84,172.68,80.83,11.2,49.23,552,682,2,0,2,0
5,1,11,2,1617,58.08,241.63,94.09,14.8,48.71,95,1321,3,0,1,480
6,1,8,2,2128,54.03,294.56,151.31,15.2,86.64,140,919,54,0,2,0
4,1,24,2,2115,64.01,302.25,185.49,11.1,74.09,479,916,360,0,3,960
3,1,17,2,1875,80.23,275.67,88.48,34.8,52.33,261,755,0,0,2,1200
7,1,14,2,1980,46.14,310.13,117.93,10.1,62.3,125,779,113,0,2,2085
3,1,10,2,641,20.77,92.41,36.22,5.2,21.54,36,244,0,0,3,660
7,1,17,1,1576,103.74,103.5,23.65,12.4,86.4,619,307,273,0,2,345
1,1,10,2,1984,117.04,129.87,16.69,7.9,112.55,378,1643,0,0,2,1080
2,1,14,2,1171,46.18,150.4,75.26,6.4,43.52,133,1601,1,0,2,180
7,1,14,2,1554,63.52,203.13,117.86,21,59.57,351,333,0,0,2,0
2,1,17,2,1998,70.8,272.56,128.7,12.7,70.42,200,959,93,0,2,240
7,1,15,2,2549,85.69,263.71,109.8,12,127.87,276,1232,2,0,3,150
2,1,17,2,2708,110.09,300.91,66.54,37.9,123.77,232,1664,4,0,2,1800
5,1,26,2,1398,48.86,158.32,70.38,8.1,65.22,168,455,384,0,1,585
6,2,12,2,923,30.62,114.88,66.43,6.9,38.53,65,744,0,0,2,120
2,1,9,2,1668,35.23,257.31,110.58,14.4,58.16,29,461,38,0,3,360
6,1,18,2,2174,110.1,168.15,97.12,9.9,120.11,642,588,317,0,2,855
4,1,13,1,1810,51.23,256.72,126.96,24.7,69.09,120,673,150,0,1,0
3,1,10,2,1169,41.68,166.24,60.3,16.6,37.05,42,874,0,0,2,1155
5,1,12,1,1338,52.45,179.37,115.21,7.3,46.98,460,932,0,0,2,0
3,1,17,2,1373,46.75,189.13,89.96,9.9,51,113,1175,0,0,2,720
6,1,23,2,2300,62.8,290.41,186.37,10.1,102.99,609,848,285,0,2,1305
4,1,13,1,1961,96.66,219.68,161.06,2.6,77.43,887,961,535,0,2,0
6,1,11,2,1271,39.79,154.21,51.22,9.3,55.02,85,642,2,0,3,255
6,1,17,2,1758,54.1,247.64,130.41,12.6,64.03,155,820,0,0,2,195
5,1,8,2,2236,96.92,311.07,211.55,12.2,68.52,226,537,156,0,2,1440
6,1,12,2,1276,46.77,205.32,101.31,14.4,30.37,67,1504,0,0,2,0
2,1,16,2,4161,168.6,499.88,96.02,54.7,170.38,321,2876,0,0,2,1200
5,1,25,2,2760,82.8,357.14,139.31,14.2,114.58,288,1144,146,0,2,600
4,1,14,2,2260,88.18,199.28,76.72,7,66.91,206,747,92,74.8,1,1890
2,1,6,2,655,21.66,81.54,40.96,7.3,29.34,198,214,0,0,3,480
3,1,21,2,766,29.48,94.73,57.52,10.5,31.42,118,996,0,0,2,660
4,1,16,2,1692,38.69,255.31,121.2,14.9,60.29,129,608,0,0,2,120
7,1,6,2,3189,107.93,261.89,66.29,15.7,103.47,221,1431,0,110.9,2,480
7,1,26,1,1354,55.82,181.17,66.25,37.3,48.53,46,745,102,0,2,2610
3,1,7,2,908,61.89,70.97,31.03,4.4,40.71,103,685,0,0,2,2100
1,1,15,1,3483,78.2,462.67,336.9,9,149.94,349,562,591,0,2,1384.46
4,1,19,2,1572,52.09,207.07,91.92,10.2,62.06,470,662,176,0,3,870
6,1,34,2,4271,130.44,602.49,270.67,41.3,155.49,367,1424,297,0,2,720
6,1,11,1,2901,163.68,364.58,157.2,12.6,84.98,366,1351,3,0,2,480
7,1,11,2,1671,60.24,244.07,85.67,23.1,53.94,112,968,243,0,2,960
1,1,4,2,1148,35.1,51.52,43.05,0.7,90.12,201,128,112,0,2,0
6,1,7,2,663,51.02,53.09,40.54,1.8,26.26,932,413,48,0,2,1440
2,1,11,2,951,29.72,161.93,83.65,9.7,22.8,44,783,0,0,2,1335
4,1,17,2,3801,132.32,491.94,229.33,25.8,150.51,511,2640,0,0,1,435
6,1,12,2,1276,73.72,166.86,81.92,10,36.77,128,1737,2,0,2,480
7,1,23,2,2972,119.57,332.07,143.44,13.7,129.98,378,1135,4,0,2,960
2,1,22,2,3155,79.34,420.26,255.33,16.2,114.49,244,1672,191,29.8,2,480
2,1,13,2,1956,92.12,251.72,140.25,7.6,64.32,513,991,141,0,2,912.6
1,1,5,1,1663,43.69,245.88,86.18,13,56.95,43,184,44,0,2,1560
3,1,20,2,1882,60.8,215.32,115.46,8.5,87.44,194,726,260,0,2,0
6,1,15,2,1729,46.62,223.51,131.57,7.6,75.29,385,363,24,0,1,1521.68
3,1,17,2,3014,112.37,480.72,133.06,25.7,75.04,197,983,0,0,2,360
2,1,3,2,1120,37.71,116.97,7.74,9.2,55.61,96,420,122,0,3,0
3,1,13,2,1657,69.17,234.93,67.19,10.5,50.6,123,1125,0,0,3,1267.5
4,1,6,1,1024,82.71,103.61,77.31,8,31.23,179,1248,0,0,2,2640
3,1,18,2,665,38.49,103.26,62.06,5.8,12.08,73,413,0,0,1,360
4,1,11,2,2492,162.07,153.73,62.99,10.4,134.32,537,1223,2,0,2,240
3,1,10,2,1184,30.17,142.96,73.16,8.1,56.29,102,149,74,0,2,60
2,1,9,2,1213,49.7,143.49,60.81,5.8,48.72,118,464,4,0,2,765
5,1,26,2,2368,86.62,322.15,165.54,22.8,85.82,219,1032,147,0,2,900
5,1,17,2,1715,76.32,227.59,75.66,20.1,58.95,204,1103,78,0,2,1014
1,1,18,2,1260,49.93,132.02,60.17,8.6,59.71,148,208,2,0,2,360
3,1,7,2,1217,42.32,150.3,67.4,10.7,50.94,83,689,7,0,2,150
5,1,12,2,2495,89.51,182.96,33.19,9.3,105.12,245,1581,0,67,3,4200
2,1,14,2,1944,59.39,335.19,171.85,20.2,42.81,85,756,128,0,2,0
3,1,15,1,2548,119.13,220.17,59.85,18.1,132.54,776,918,0,0,2,585
4,1,15,2,1985,83.84,265.2,81.66,17.9,69.64,152,771,139,0,2,2880
2,2,17,2,3608,109.86,417.89,147.7,29.3,169.78,300,1501,417,0,2,2400
5,1,4,2,320,6.68,33.52,33.52,0,17.68,8,292,0,0,2,0
1,1,4,2,252,34.07,20.03,4.96,8.1,3.65,92,110,0,0,2,480
3,1,17,2,752,17.69,89.66,75.98,3.1,35.98,16,565,0,0,2,270
3,1,13,1,693,17.42,122.81,78.94,7.8,17.67,46,104,169,0,2,180
5,1,18,2,3244,109.72,314.18,101.65,32.4,151.08,269,1103,70,30.9,2,0
3,1,12,2,1838,53,263.91,129.43,19.7,67.41,97,1319,35,0,2,555
1,1,9,2,1896,53.07,264.97,142.85,11.8,72.25,219,553,66,0,2,507
3,1,20,2,3301,107.54,374,187.52,41.3,158.85,444,2328,799,0,2,3840
6,1,14,2,1659,64.61,175.73,53.23,10.7,78.96,360,508,0,0,2,420
4,1,8,2,763,28.72,92.39,45.58,7.2,30.87,261,464,2,0,3,507
6,1,12,2,1557,72.42,214.73,69.2,16.4,49.63,104,541,229,0,1,1890
3,1,13,2,1717,58.38,271.64,142.03,14.2,47.87,312,952,0,0,2,240
6,1,21,2,1558,59.91,220.55,80.18,12.6,51.64,408,660,86,0,2,2885
4,1,19,2,4875,196.46,609.03,133.35,53.2,189.88,339,2299,0,0,2,2880
3,1,17,2,1381,42.06,172.26,83.45,32.4,64.83,47,322,252,0,2,1575
2,2,11,2,1214,48.52,183.4,46.46,26.8,37.14,90,554,67,0,2,1014.46
4,1,16,2,1614,77.22,205.51,62.99,11,52.97,159,634,156,0,2,555
1,1,13,2,2438,85.78,348.26,135.65,18,80.02,154,753,0,0,2,960
2,1,12,2,1204,53.55,115.12,66.89,3.8,59.26,555,1132,63,0,2,1740
3,1,13,2,1781,83.43,153.71,57.71,6.5,70.98,591,500,0,28.1,2,480
1,1,6,2,960,97.36,42.61,22.78,1.5,44.5,734,297,0,0,3,480
2,1,16,2,1221,44.1,187.18,84.07,12,37.17,120,977,126,0,2,645
5,1,17,1,3204,121.17,358.89,139.21,19.7,144.92,342,1472,241,0,2,0
1,1,16,2,2681,88.88,363.35,161.42,13.5,101.42,87,2389,5,0,2,0
5,1,29,2,2436,104.26,137.08,58.63,15.2,108.08,305,983,270,75.8,2,1875
2,1,10,2,833,55.87,77.69,27.25,7.2,33.95,692,292,826,0,2,0
5,1,7,2,3550,110.85,433.25,157.26,23.4,155.26,326,1663,11,0,2,1920
3,1,15,2,2733,97.39,312.15,174.23,10.4,121.96,495,1681,17,0,2,1200
5,2,14,2,1443,112.04,108.17,64.43,7.1,62.75,845,830,2,0,1,615
4,2,16,2,3294,148.63,379.99,148.33,29.6,133.14,481,955,216,0,2,1500
5,1,14,2,1036,50.8,110.52,22.29,20,44.3,96,373,90,0,2,2157
6,1,18,1,1886,97.3,179.58,107.91,8.2,85.93,688,809,62,0,2,225
1,1,8,2,412,7.95,57.32,48.96,2.6,17.38,0,261,0,0,2,0
2,1,12,2,2126,63.61,277.11,120.98,10.6,86.76,210,427,170,0,2,480
3,1,12,2,931,35.92,136.89,43.36,4.2,25.96,98,361,47,0,2,1050
6,1,3,2,1115,11.84,97.2,6.24,0,0.03,0,111,63,98.3,3,0
3,1,16,2,1655,50.28,241.94,112.52,12.5,54.36,130,857,29,0,2,195
3,1,16,2,2404,67.92,371.14,166.11,15.9,75.72,229,1049,66,0,1,2028
3,1,16,2,1380,27.92,202.73,103.1,9.9,52.75,71,448,12,0,2,300
3,1,11,2,1134,41.48,177.55,97.79,23.6,31.31,247,852,0,0,1,3828
3,1,10,2,1735,58.3,185.16,82.58,6.7,71.94,272,563,288,18.7,2,0
2,3,25,2,2899,135.98,313.71,187.63,21.9,128.78,1072,1089,300,0,2,2160
6,1,18,2,2397,101.68,255.94,42.99,16.5,76.21,228,1603,186,42.1,2,0
4,1,14,2,1729,81.7,221.58,80.38,23,63.31,340,1247,3,0,2,0
6,1,12,2,1429,90.86,163.44,31.84,13.6,44.68,197,540,0,0,2,2460
4,1,8,2,1366,46.61,175.51,81.44,9.5,55.1,154,1272,11,0,2,150
1,1,16,2,1050,37.28,136.87,80.48,13.2,40.83,127,518,0,0,2,210
2,1,5,2,1274,50.1,137.87,64.24,7.1,58.86,138,456,51,0,2,0
4,1,21,2,2873,166.34,357.9,114.59,19.8,82.17,677,597,286,0,1,1275
4,1,19,2,2255,91.23,265.6,106.5,12.1,93.18,507,1021,6,0,2,159.98
2,1,18,2,2891,119.79,303.71,130.64,28.2,134.63,302,1805,3,0,2,1014
1,1,9,2,1305,37.72,225.1,107.53,20.6,32.14,20,322,66,0,2,1575
5,1,14,2,2876,87.29,363.97,175.39,17.5,124.4,226,1381,0,0,2,180
4,1,19,2,2627,78.82,388.6,160.69,17.2,88.51,384,1381,1,0,2,1290
3,1,9,2,1799,61.14,196.25,29.85,12.1,84.28,136,309,436,0,2,2265
3,1,22,1,1839,75.83,104.48,22.27,7.3,124.29,996,951,96,0,2,1140
5,1,15,2,1545,34.69,190.45,83.86,18.7,57.31,33,438,110,25.4,2,120
5,1,11,2,1151,61.98,190.87,98.59,26.1,21.75,59,1537,0,0,1,3600
3,1,16,2,2134,86.39,263.93,163.83,9.1,84.15,254,1360,44,0,2,0
5,1,4,2,521,21.46,56.07,23.06,3.8,23.73,54,237,19,0,2,0
2,1,13,1,5837,135.22,780.45,387.04,50.9,249.65,424,1219,301,0,1,0
3,1,6,2,830,25.94,111.73,23.17,15.3,31.57,35,333,882,0,3,0
5,1,16,2,1804,51.42,268.71,164.33,11.8,59.61,174,1219,0,0,2,2988.9
1,2,18,2,3095,153.32,347.01,107.22,66.1,126.11,559,826,426,0,3,480
5,1,15,2,2295,93.17,316.77,118.36,30.2,75.79,217,1092,144,0,2,0
6,2,18,2,965,58.68,80.7,31.41,12.1,46.93,864,1042,51,0,2,480
5,1,11,2,2507,64.56,301.31,163.41,12.8,121.32,213,1874,5,0,2,315
4,1,19,2,1754,57.46,266.7,47.51,29.4,52.82,44,632,95,0,2,840
6,1,13,2,1199,36.91,149.17,56.39,8.1,51.61,69,1016,28,0,2,195
7,1,20,2,1729,62.78,200.48,39.55,8.7,45.43,534,775,90,38.2,2,1440
6,1,17,2,2329,50.7,260.71,101.2,11.4,75.23,535,607,187,59.5,2,2610
7,1,6,2,1805,87.94,178.08,45.15,12.3,82.45,247,844,0,0,2,0
3,1,10,2,2437,69.84,413.2,241.53,15.4,58.24,130,844,0,0,1,870
1,1,16,2,1410,83.79,153.44,50.29,14.3,52.25,216,1132,331,0,2,420
5,1,11,1,837,60.97,105.69,41.17,5.2,18.07,163,305,176,0,2,960
4,1,7,2,1712,52.39,244.69,111.5,14.2,59.77,113,785,2,0,2,0
3,1,10,2,1872,42.34,185.68,68.64,12.7,107.08,104,556,28,0,2,600
4,1,9,2,2393,68.98,268.8,133.69,19.9,116.97,623,763,33,0,2,600
5,1,15,1,3989,147.38,311.1,78.66,14.1,244.93,707,2778,0,0,2,2610
1,1,7,2,3109,149.4,347.29,121.07,15.8,122.79,459,782,108,0,2,747
4,1,13,2,1329,52.57,202.23,102.51,6.9,35.28,111,1099,2,0,2,255
5,1,9,2,1446,52.97,196.43,89.4,10.1,52.47,149,873,1,0,2,765
6,1,10,2,3224,187.56,159.48,66.98,8.1,202.42,672,821,74,0,2,525
6,1,13,2,1548,90.18,174.44,57.23,13.8,54.48,468,754,1,0,2,195
4,1,14,2,1761,99.04,200.49,78.17,17.7,65.38,197,553,153,0,2,360
2,1,7,2,2153,69.98,250.42,121.83,7.3,98.15,605,734,0,0,3,3549
3,1,23,2,1810,47.36,183.68,89.66,12.9,99.9,179,715,32,0,2,1170
1,1,11,2,1152,31.61,123.83,40.55,8.7,60.03,88,212,9,0,3,310.14
7,1,18,2,2497,126.11,296.2,115.01,23.5,91.7,308,929,21,0,1,870
1,2,11,1,1486,96.54,162.48,86.09,8.3,50.28,564,630,100,0,2,960
1,1,16,2,2122,82.44,226.65,26.32,39.5,104.12,23,568,16,0,2,1980
1,1,11,1,431,11.63,78.25,38.75,5.8,9.71,33,152,0,0,2,0
4,1,14,2,961,55.61,118.72,73.92,8.9,31.64,88,1197,258,0,2,840
4,1,27,2,2457,123.46,225.79,88.33,25.4,124.12,476,1069,0,0,2,1394.25
1,1,14,2,2113,65.98,260.52,83.88,8.5,87.34,253,1244,0,0,2,599.1
3,1,10,2,2597,122.15,246.03,26.74,11.8,101.62,378,1743,0,28.1,2,2400
2,1,20,2,2045,73.68,227.23,106.27,11.4,94.59,321,1927,3,0,2,420
3,1,4,2,341,41.06,30.41,20.33,4.3,4.82,118,297,0,0,2,2100
3,1,19,2,676,15.75,95.53,64.17,6.6,26.82,16,663,0,0,2,330
4,1,10,2,2751,92.84,343.41,181.74,13.1,112.16,426,1544,7,0,2,507.23
1,1,7,2,918,19.11,96.12,96.12,0,50.69,23,842,0,0,2,0
1,1,17,2,3033,96.08,365.15,172.35,17.5,134.43,274,1117,315,0,2,720
1,1,9,2,1374,53.4,187.46,80.22,5.4,47.82,116,262,74,0,3,960
3,1,7,2,629,30.64,86.55,26.58,6.4,17.88,50,134,0,0,2,795
5,1,14,1,1736,74.25,237.24,106.67,12.3,54.13,145,826,43,0,2,315
6,1,16,2,2842,116.56,243.47,111.13,6.3,105.65,406,676,215,64.1,1,840
4,1,4,2,796,26.78,90.86,2.31,7.3,36.3,48,202,0,0,3,1014.45
3,1,8,2,1648,74.99,147.69,12.64,7.4,82.41,963,1200,0,0,2,1020
2,1,9,2,1670,88.37,219.71,106.91,12.5,49.59,257,978,42,0,2,525
1,1,9,2,1643,55.69,192.13,105.58,5,72.35,563,978,0,0,1,1014
5,2,9,2,1323,49.25,236.41,113.52,12.4,26.75,128,348,0,0,2,540
3,1,6,2,486,11.16,53.04,53.04,0,25.56,0,396,0,0,2,0
4,1,9,2,1850,49.85,323.61,120.74,17,40.73,167,617,348,0,2,1740
4,1,16,2,2150,61.46,296.64,197.04,8,81.53,190,1509,4,0,1,900
2,2,15,2,1652,71.99,239.07,97.92,12.2,46.05,374,972,66,0,2,1920
5,1,16,2,3648,109.12,397.58,224.9,22.1,157.5,353,1435,50,41.4,1,0
1,1,16,1,1694,65.96,253.24,136.08,18.6,48.43,152,1631,97,0,2,450
1,1,23,2,4313,209.02,393.87,217.93,20.5,214.16,1393,1810,208,0,2,3240
1,1,13,2,1003,48.71,159.65,87.06,8.8,20.18,133,633,0,0,2,240
3,1,28,2,2258,118.77,285.89,99.61,21.6,63.17,554,1704,114,15.9,2,2310
1,1,6,2,708,17.58,78.24,62.46,0,36,6,834,0,0,2,0
7,1,11,2,1000,25.86,82.34,15.14,7.5,34.7,78,276,384,37.1,3,1920
1,1,9,2,1081,45.67,132.96,47,8.8,43.47,58,700,0,0,3,1200
6,1,20,2,1464,63.7,157.54,41.38,9.1,64.19,287,1559,0,0,2,210
5,1,21,2,1040,25.37,114.45,71.79,10.8,56.35,400,398,166,0,2,1440
4,2,18,2,2518,130.89,256.2,93.44,18.8,108.98,725,817,156,0,2,1740
4,1,11,2,1780,57.76,215.09,115.47,11.5,78.09,676,898,9,0,2,360
4,1,16,2,1429,41.81,194.14,90.9,8,56.33,215,552,2,0,2,390
3,1,13,2,986,34.09,148.49,48.05,9.1,31,75,490,1,0,2,360
1,1,19,2,3215,110.82,489.68,216.68,29.4,96.43,315,1094,65,0,2,420
7,1,15,2,1211,54.7,111.28,38.72,4.7,62.24,580,655,102,0,2,1575
5,1,10,1,1790,98.57,114.09,27.01,9.1,105.67,892,830,97,0,2,711
2,1,15,1,2300,85.61,238.78,83.4,13,89.71,626,1018,29,28.1,2,975
3,1,16,2,1296,51.45,210.36,104.15,29.6,34.61,66,617,0,0,2,720
1,1,26,2,1940,60.86,200.19,95.43,7.9,102.29,187,996,197,0,2,747.23
2,2,10,2,976,27.09,142.23,83.85,4.6,35.03,397,369,2,0,2,480
1,1,36,2,2486,77.47,302.27,145.63,44.9,96.17,117,1242,570,25.4,2,1927.5
6,1,19,1,2410,131.32,283.61,107.48,23,85.88,676,1571,250,0,2,240
6,1,7,2,606,14.21,75.04,64.35,3.3,28.35,19,479,0,0,2,0
1,2,22,2,1480,56.71,180.79,64.29,28.4,63.9,103,1023,4,0,3,1200
3,1,12,2,3113,117.47,350.17,166.5,16.1,138.85,400,1894,96,0,2,1050
6,1,15,2,2494,108.55,262.45,107.69,20.7,115.56,667,1560,0,0,2,1920
1,1,11,2,1299,37.26,113.21,24.97,5.1,45.16,94,255,288,44.6,2,1014
6,1,20,2,2788,102.28,236.51,72.14,14.8,147.49,398,530,77,19.1,2,810
2,1,13,2,1299,100.21,86.52,60.96,5,59.67,392,203,237,0,2,0
3,1,10,2,2099,45.58,243.66,89.6,10.2,104.71,97,796,2,0,2,507
7,1,11,2,1455,43.24,152.18,109.85,3.7,74.77,211,327,69,0,2,480
1,1,16,2,3364,119.21,498.23,227.93,37.3,102.9,219,1861,315,0,3,960
2,1,15,2,3444,169.51,370.98,237.78,20,140.33,558,1278,348,0,3,1575
3,1,15,2,2115,52.58,364.18,186.11,18.1,55.56,155,1408,10,0,1,345
3,1,11,2,1701,76.78,160.66,62.61,8.5,83.23,573,870,2,0,2,945
3,1,8,2,1226,24.63,214.18,93.52,5.9,31.08,37,634,0,0,2,480
7,1,12,2,2547,119.64,205.65,70.46,16.8,139.39,866,2138,0,0,2,1485
4,1,25,2,3673,77.15,533.91,219.25,33.5,142.6,113,727,129,0,2,540
2,1,19,1,1636,53.3,224.35,81.69,19.8,61.49,101,753,38,0,2,150
4,1,10,2,1259,65.82,97.54,9.14,9.1,58.92,179,881,144,11.2,2,480
6,1,8,2,2702,119.79,230.31,28.56,21.1,122.25,389,1841,192,28.1,2,1200
3,1,6,1,355,8.98,57.73,9.66,4.5,9.73,2,58,3,0,2,180
2,1,12,2,1457,45.63,156.84,47.14,14.5,73.21,389,440,0,0,2,405
2,1,11,2,1397,41.86,258.29,148.97,30,31.64,72,1139,6,0,2,1380
6,1,15,2,1885,72.59,112.37,36.04,14.4,129.59,570,703,1152,0,2,1560
2,2,15,2,819,50.4,91.11,17.82,11.5,28.56,94,574,78,0,2,1920
1,1,11,2,888,28.31,133.96,54.52,10.8,26.42,74,638,146,0,2,0
4,3,22,2,2529,121.12,331.3,140.08,37.5,74.25,313,885,346,11.2,2,1200
3,1,7,2,773,42.57,92.63,32.71,3.3,24.96,109,544,8,0,2,480
6,1,9,2,996,81.16,103.61,9.36,5.3,27.43,602,704,0,0,2,3840
3,1,10,2,1914,101.95,203.57,88.87,11.2,76.53,926,1167,0,0,2,420
