Trip Seconds,Trip Miles,Fare,Tips,Tolls,Extras,Trip Total,Payment Type,Company,Pickup Location,Dropoff Location
5252,68.99,162.75,0,0,8.5,171.25,Cash,Sun Taxi,76,76
0,0,3.25,0,0,0,3.25,Cash,Blue Ribbon Taxi Association Inc.,76,76
414,3.27,10.5,3,0,4,18,Credit Card,Sun Taxi,POC,DOC
1280,16.2,39.75,18.68,0,22,80.93,Credit Card,Medallion Leasin,76,DOC
1062,4.56,14,0,0,0,14,Cash,Sun Taxi,8,6
1052,4.93,20.9,4.7,0,0,25.6,Mobile,Globe Taxi,6,28
480,1.8,8,0,0,0,8,Cash,Medallion Leasin,6,3
1442,10.32,29,0,0,0,29,Prcard,Flash Cab,77,32
1907,21.79,53.25,0,0,5,58.25,Cash,Flash Cab,76,DOC
1020,11,28.5,0,0,4,33,Credit Card,Medallion Leasin,56,38
360,1.5,7.25,0,0,1,8.25,Cash,Taxi Affiliation Services,3,4
1023,3.98,9.36,1.61,0,0,10.97,Mobile,Sun Taxi,7,21
60,0,3.25,6.95,0,31,41.2,Credit Card,Top Cab Affiliation,POC,8
921,6.79,22.93,3,0,0,25.93,Mobile,Medallion Leasin,6,32
555,1.9,12.88,2.92,0,0,15.8,Mobile,Medallion Leasin,6,77
1560,14.3,37.25,5,0,5.5,47.75,Credit Card,Taxi Affiliation Services,76,6
1200,17.7,43.5,9.6,0,4,57.1,Credit Card,Taxi Affiliation Services,76,8
2778,37.8,89.5,0,0,48,138,Credit Card,Medallion Leasin,56,DOC
934,8.53,23.25,4.75,0,0,28.5,Credit Card,Flash Cab,77,32
1020,4.1,14.75,3.25,0,1,19,Credit Card,Taxi Affiliation Services,7,8
313,0,9.36,2.14,0,0,11.5,Mobile,Flash Cab,6,6
660,0,8.25,0,0,0,8.25,Cash,Taxi Affiliation Services,8,24
120,0.5,4.5,25,0,0,29.5,Credit Card,Top Cab Affiliation,8,8
1980,30.6,71.5,0,0,39,110.5,Cash,Taxicab Insurance Agency,76,DOC
600,5.9,17,0,0,2,19,Cash,Taxi Affiliation Services,8,3
1046,11.9,30.25,5,0,5,40.75,Credit Card,Globe Taxi,56,8
1138,0,25.06,5.63,0,0,30.69,Mobile,Flash Cab,6,28
334,0.83,5.75,3,0,1,10.25,Credit Card,Sun Taxi,8,8
7372,9.08,0,0,0,0,0,Cash,Medallion Leasin,22,1
1080,11.9,30.75,4,0,5.5,40.25,Credit Card,Taxicab Insurance Agency,76,15
393,1.9,8,0,0,1,9,Cash,Flash Cab,6,7
540,3.8,12.5,1.75,0,0,14.25,Credit Card,Taxi Affiliation Services,6,8
1320,1,43,0,0,4,47,Credit Card,Blue Ribbon Taxi Association Inc.,76,8
1860,10.4,29.5,0,0,0,29.5,Unknown,Taxi Affiliation Services,3,13
272,1.08,6,0,0,0,6,Cash,Flash Cab,6,6
1196,10.19,27.25,0,0,0,27.25,Prcard,Flash Cab,8,43
960,9.9,26.25,0,0,0,26.75,Credit Card,Medallion Leasin,8,DOC
1149,12.27,31.75,0,0,4,36.25,Credit Card,Flash Cab,POC,61
