Versus,Exit_Velocity,Launch_Angle,Pitch_Speed,Distance,Pitcher_Age,Pitch_Type,Batter_Age
AZ,104.3,33,92.5,416,25,Four Seam,35
TB,110.2,27,97.5,416,25,Four Seam,30
OAK,106.1,24,93.4,416,26,Sinker,22
KC,104.5,31,96.1,416,27,Sinker,33
PIT,105,30,86.5,416,29,Cutter,26
HOU,103.9,29,85.3,416,27,Changeup,27
PIT,104.2,29,93.6,416,25,Four Seam,31
OAK,102.6,30,92.1,416,28,Four Seam,32
KC,101.3,34,68.8,416,31,Slider,27
OAK,104.6,23,90.9,416,33,Four Seam,29
COL,106.6,25,85.2,416,29,Changeup,29
LAD,106.5,23,85.3,416,28,Slider,31
SD,105.8,21,89.2,416,30,Sinker,26
DET,111,27,83.6,416,28,Changeup,31
TEX,108.5,32,85.9,416,31,Slider,22
SD,107.3,26,82.5,416,28,Changeup,30
AZ,104.2,24,86.6,416,25,Slider,27
DET,105.6,27,89.4,416,33,Four Seam,31
BOS,108.1,28,97.5,416,35,Four Seam,27
AZ,105,25,91.5,416,29,Sinker,25
TOR,103.6,31,86.6,416,29,Changeup,26
TEX,107.9,20,88.8,415,34,Slider,31
OAK,107.1,23,93.6,415,28,Four Seam,29
CLE,108.1,25,81.7,415,27,Changeup,30
NYM,103.2,25,96.2,415,26,Four Seam,30
WSH,108.2,27,94.2,415,25,Four Seam,30
NYM,102.7,30,86.1,415,27,Changeup,32
BAL,105.1,30,79.1,415,32,Curveball,27
CLE,102.6,34,92.5,415,26,Four Seam,27
OAK,107.9,35,93,415,28,Four Seam,25
WSH,105.4,24,82.3,415,33,Slider,29
TEX,108.1,35,85.7,415,25,Cutter,28
DET,113.2,23,95.5,415,24,Four Seam,30
CLE,104.9,30,93.5,415,27,Four Seam,28
OAK,104.6,37,81.5,415,24,Slider,29
LAA,107.8,30,85.9,415,26,Slider,25
CLE,104.6,27,91.4,415,27,Four Seam,27
AZ,103,27,88.8,415,27,Changeup,28
MIA,106.7,27,94.9,415,26,Four Seam,27
MIN,105.6,27,84.4,415,28,Cutter,29
BAL,113.6,23,83.5,415,30,Slider,30
MIN,111.4,22,83.5,415,38,Sinker,29
NYM,106.1,24,93.5,415,34,Slider,30
MIN,108.6,19,84.1,415,31,Cutter,30
SEA,110.9,24,97.4,415,25,Four Seam,37
BAL,105.8,38,89.9,415,28,Cutter,30
BOS,109.5,26,97.5,415,32,Four Seam,28
CWS,108,35,97.8,415,27,Four Seam,28
TOR,107,22,96,415,31,Four Seam,28
CIN,107.6,27,83.7,415,30,Slider,24
MIN,104.3,28,85.4,415,38,Four Seam,32
OAK,108.5,20,93.1,415,29,Four Seam,30
NYM,109.2,32,98.2,415,29,Four Seam,30
AZ,112.2,23,90.4,415,33,Sinker,31
TOR,104.2,28,86.8,415,32,Changeup,28
WSH,106.5,39,87.9,415,32,Cutter,32
LAD,106.8,26,90.4,415,37,Sinker,29
SF,103.8,25,84.7,415,35,Knuckle Curve,31
PHI,107.7,29,83.2,415,35,Slider,30
SF,106.7,33,96,415,27,Four Seam,24
NYY,108.6,26,91,415,32,Cutter,25
SD,108.3,25,72.6,415,28,Curveball,32
LAA,104.6,29,93.2,415,27,Four Seam,30
TEX,103.6,30,86.2,415,31,Slider,31
SD,107.4,33,88.7,415,36,Split-Finger,30
KC,103.7,27,84.6,415,25,Slider,30
TOR,104.9,31,85.5,415,35,Slider,30
LAA,107.5,34,83.6,415,30,Slider,25
COL,108.6,31,93.4,415,26,Four Seam,25
MIN,106.1,25,93.9,415,25,Four Seam,29
TOR,102.8,27,77.3,415,33,Knuckle Curve,25
MIA,107.7,24,92.3,415,25,Four Seam,26
STL,108,21,73.7,415,25,Curveball,27
KC,102.4,31,90.2,415,29,Changeup,26
MIL,109.2,35,96.7,415,28,Sinker,27
KC,101.9,30,83.3,415,26,Slider,25
SEA,106.1,26,97,415,25,Four Seam,37
PHI,104.7,33,93.9,415,31,Four Seam,28
SEA,108.6,24,85.4,415,25,Slider,25
LAD,107.6,23,83.5,415,31,Slider,36
WSH,105.1,33,94.5,415,31,Four Seam,31
TOR,102.4,28,84.5,415,31,Changeup,27
KC,100.6,30,90.7,415,25,Four Seam,33
SEA,106.7,23,89,415,30,Changeup,30
OAK,105.1,27,92.9,415,26,Four Seam,28
TEX,109.8,30,96.3,415,31,Four Seam,28
MIL,103.3,30,95.6,414,29,Four Seam,30
COL,103.4,34,86.5,414,29,Slider,24
WSH,103.5,30,90.8,414,27,Four Seam,25
TOR,101.9,28,86.5,414,28,Slider,29
DET,104.1,26,78,414,28,Slider,24
CHC,105.5,28,84,414,26,Slider,27
LAA,112.5,21,96.1,414,32,Four Seam,28
BOS,108.2,19,85.6,414,26,Slider,23
COL,104.3,29,87,414,27,Changeup,24
BOS,110.4,25,87.4,414,32,Split-Finger,33
KC,103.9,33,94.4,414,26,Sinker,27
BOS,106,25,95.3,414,35,Four Seam,35
CIN,109.3,24,82.5,414,35,Changeup,31
COL,108.2,26,94.6,414,27,Sinker,28
WSH,105.5,34,78.5,414,29,Curveball,32
NYM,106.2,31,94.1,414,33,Sinker,24
SEA,108.2,23,86.9,414,30,Four Seam,25
BOS,101.8,27,93.9,414,34,Four Seam,28
COL,107.6,25,86.6,414,30,Changeup,25
DET,109,30,92.9,414,25,Sinker,25
CWS,111,19,94.5,414,27,Four Seam,23
MIN,111.2,26,93.4,414,26,Four Seam,25
BAL,103.5,27,82,414,25,Slider,31
MIN,107.8,24,91.5,414,34,Four Seam,25
ATL,106,30,94.4,414,27,Four Seam,31
MIN,106.2,30,96.8,414,29,Four Seam,29
MIA,108.9,26,90.2,414,27,Slider,26
CHC,103.3,29,89.9,414,31,Four Seam,38
DET,109.2,22,90.2,414,29,Four Seam,31
KC,111.6,22,94.9,414,26,Four Seam,28
SD,106.4,29,98.2,414,23,Four Seam,28
SEA,106.1,29,79,414,39,Slider,29
MIL,101.2,30,95.3,414,36,Four Seam,25
DET,108.7,22,83.9,414,28,Changeup,31
OAK,106.4,29,81.3,414,30,Slider,31
TOR,106.8,32,98.4,414,31,Four Seam,31
TOR,105.6,34,85.9,414,31,Split-Finger,28
MIN,107.3,26,84.9,414,30,Changeup,24
COL,107.1,22,94.7,414,27,Sinker,29
OAK,107,30,90.2,414,26,Four Seam,29
SEA,103.8,29,88.3,414,30,Changeup,24
OAK,112.2,26,93.6,414,28,Sinker,28
ATL,102,35,92.5,414,24,Four Seam,32
NYM,105.9,27,97.4,414,34,Four Seam,30
MIA,103.1,25,97.5,414,27,Four Seam,22
LAA,102.2,33,93.3,414,22,Four Seam,35
AZ,103.8,27,77.3,414,24,Curveball,31
OAK,109.3,24,80.6,414,30,Slider,25
PIT,109.9,22,87.1,414,28,Changeup,24
COL,101.5,32,87.7,414,30,Slider,35
MIL,111.6,35,92.3,414,29,Sinker,30
CHC,104.7,31,95.1,414,26,Sinker,27
WSH,103.8,27,92.6,414,33,Sinker,28
TB,109.3,23,90.7,414,30,Four Seam,30
CLE,104.9,33,87.2,414,27,Cutter,25
CIN,108.9,35,82.8,414,27,Changeup,30
PHI,105.7,22,93.5,414,32,Four Seam,23
PHI,107.4,34,80,414,35,Curveball,32
MIL,105.7,29,86.9,414,30,Changeup,30
SD,104,35,96.3,414,28,Four Seam,35
CHC,100.2,33,73.2,414,33,Curveball,35
OAK,107.2,37,92.9,414,26,Sinker,30
CLE,106.1,27,90.9,414,27,Four Seam,28
DET,105.8,31,93.7,414,25,Four Seam,28
TOR,112.5,31,84.1,414,29,Slider,30
BAL,105.4,26,91.1,413,26,Four Seam,31
AZ,103.5,28,86.4,413,33,Cutter,25
CHC,105.6,31,94.2,413,30,Four Seam,31
CLE,104.2,32,91.1,413,26,Four Seam,33
BOS,105.5,25,80.5,413,28,Slider,27
CIN,105.2,23,93.1,413,24,Sinker,30
DET,106.2,24,94.2,413,26,Sinker,32
TOR,105.1,21,82.4,413,32,Curveball,25
MIN,100.6,29,94.4,413,34,Four Seam,31
BAL,106.5,25,84.8,413,27,Changeup,30
TOR,107.3,25,95,413,31,Four Seam,30
TOR,111.8,25,79.6,413,32,Slider,25
COL,101.5,36,82.4,413,28,Slider,29
NYM,106.9,25,89.1,413,31,Changeup,26
AZ,105.2,26,93,413,34,Four Seam,28
CHC,108.1,41,90.8,413,27,Four Seam,29
SD,106.9,25,90.6,413,30,Sinker,24
MIA,111.9,30,94.5,413,24,Four Seam,31
MIL,104.4,32,93.9,413,32,Sinker,29
STL,102.6,23,82.4,413,30,Changeup,33
CIN,103.4,30,94.3,413,24,Cutter,27
SD,107.3,31,81.1,413,30,Curveball,24
CWS,103.9,31,92.8,413,35,Sinker,31
DET,110.2,24,92.1,413,24,Sinker,35
KC,102.3,24,93.2,413,26,Sinker,32
MIL,100.7,31,85.1,413,24,Changeup,31
NYM,108.7,36,93,413,26,Four Seam,27
WSH,107.9,25,96.3,413,29,Four Seam,28
TB,103.9,28,91.9,413,30,Four Seam,30
TOR,108.8,26,83,413,28,Slider,28
ATL,103.1,27,90.4,413,27,Slider,35
BAL,109.4,21,86.1,413,30,Changeup,29
BOS,107.2,23,92.5,413,29,Four Seam,33
LAD,106.1,34,92.4,413,26,Four Seam,23
NYY,107.4,26,88.5,413,31,Changeup,30
SEA,106.4,27,88.2,413,28,Cutter,26
ATL,107.2,28,94.1,413,39,Four Seam,36
TB,103,24,95.8,413,29,Four Seam,27
CLE,109.2,34,95.9,413,26,Sinker,28
MIL,101.8,29,80.7,413,27,Curveball,28
LAD,105.9,26,85.1,413,28,Slider,28
BOS,104.8,30,95.5,413,35,Four Seam,29
LAD,104.1,24,92.4,413,26,Four Seam,30
ATL,110.2,37,79.8,413,39,Curveball,30
HOU,101.5,26,82.6,413,29,Slider,30
LAD,105.3,28,79.9,413,26,Curveball,25
BOS,105.4,28,90.9,413,26,Cutter,30
AZ,110,40,88.1,413,34,Changeup,31
MIN,109,30,79,413,33,Curveball,25
KC,105.6,21,89.5,413,39,Four Seam,25
PIT,106.2,29,96.1,413,29,Four Seam,34
PIT,103.3,28,84.1,413,29,Changeup,30
MIA,109,20,91.9,413,27,Four Seam,32
WSH,105.9,25,92.1,413,33,Four Seam,25
CIN,105.3,27,94.7,413,34,Four Seam,26
STL,108.8,20,98.7,413,25,Sinker,33
SF,107.1,23,97.9,413,27,Four Seam,30
MIL,112.4,25,80.7,413,30,Split-Finger,30
HOU,107.8,25,95.8,413,27,Four Seam,28
STL,107.7,30,96.1,413,26,Four Seam,32
NYM,105.6,28,92.3,413,27,Four Seam,23
BOS,105.3,39,96,413,32,Four Seam,25
COL,107.2,35,91.6,413,30,Sinker,32
TOR,108.4,27,91.9,413,28,Sinker,30
MIL,105.3,24,94.9,413,28,Cutter,31
PIT,107.7,22,89.9,413,32,Four Seam,28
OAK,106.9,27,93.7,413,28,Four Seam,25
NYY,110.8,21,94.2,413,32,Cutter,28
PIT,106,30,84,413,33,Slider,27
TB,109.8,29,88.4,413,27,Slider,28
MIA,106.6,22,97.8,413,27,Four Seam,34
MIL,105,26,95.1,413,28,Cutter,36
BAL,103.4,27,94.2,413,26,Four Seam,27
MIL,101.8,29,91.4,413,28,Cutter,29
CHC,108.3,24,79,412,31,Changeup,35
TOR,104.6,28,95.4,412,31,Four Seam,37
MIA,103.6,29,85.8,412,31,Slider,27
CHC,107.1,31,86.3,412,31,Cutter,25
TOR,101.8,28,78.7,412,28,Slider,35
TOR,109.4,25,94.4,412,24,Four Seam,36
TOR,106.5,23,85.6,412,28,Slider,33
BAL,109.4,29,84.2,412,27,Slider,24
STL,107.3,35,80.4,412,26,Slider,26
WSH,104.9,25,96.5,412,26,Four Seam,32
SF,103.3,31,82,412,30,Changeup,25
COL,102.7,36,83.9,412,29,Slider,42
NYM,102.9,30,80.9,412,33,Changeup,28
BAL,103.7,30,78.8,412,30,Slider,24
NYM,104.8,35,88,412,33,Slider,34
DET,102.8,25,95.5,412,27,Four Seam,28
PIT,105.6,27,79,412,25,Curveball,27
PIT,103.7,30,93.1,412,23,Four Seam,27
LAA,104.4,28,83.2,412,24,Changeup,25
ATL,109.5,19,85.5,412,27,Curveball,28
MIL,110.9,27,81.2,412,26,Slider,28
TEX,102.8,24,84.9,412,31,Slider,25
MIA,109.3,25,80.7,412,27,Slider,26
TEX,109.4,27,87.4,412,27,Slider,31
HOU,104.8,27,93.4,412,34,Four Seam,33
CIN,110.1,22,93.4,412,36,Four Seam,26
WSH,108.3,22,87.7,412,35,Four Seam,29
CIN,103.6,31,97.1,412,23,Four Seam,28
SF,106.2,29,84.2,412,30,Changeup,25
ATL,105.6,28,91.6,412,28,Four Seam,34
CHC,104,32,94,412,29,Four Seam,25
CLE,105,26,85.6,412,25,Slider,30
CIN,105.6,32,90.2,412,26,Sinker,27
OAK,107.9,19,94.9,412,26,Sinker,34
ATL,103.1,28,89.4,412,28,Slider,33
TOR,105.5,27,95.2,412,31,Four Seam,22
CHC,105.1,27,93.2,412,29,Sinker,31
HOU,103.6,30,78.2,412,26,Slider,30
CLE,107.7,21,96.2,412,27,Four Seam,30
SD,99.7,32,87.8,412,36,Split-Finger,28
TOR,104.8,32,95.1,412,28,Four Seam,28
MIL,107.9,23,94.2,412,29,Sinker,24
LAD,103.7,33,80.1,412,26,Curveball,29
SEA,108,24,97.8,412,24,Four Seam,26
BAL,104.2,31,92.7,412,28,Four Seam,39
PHI,106.5,26,76.5,412,27,Curveball,33
CLE,105.2,28,86.2,412,25,Slider,30
HOU,106.6,33,93.1,412,39,Four Seam,29
LAD,105.8,36,93.2,412,31,Four Seam,29
WSH,111.2,25,85.8,412,27,Slider,32
WSH,105.5,29,96.8,412,29,Four Seam,21
NYM,114.6,23,92.2,412,35,Four Seam,25
MIN,104.6,32,87.7,412,27,Four Seam,32
MIN,103,27,92.6,412,35,Four Seam,27
MIN,105.4,26,84,412,26,Slider,32
NYM,107.3,33,92.5,412,30,Four Seam,29
WSH,107.3,23,94.1,412,30,Four Seam,32
CHC,109.7,20,87.1,412,28,Slider,28
ATL,102.4,31,84.9,412,24,Slider,26
MIA,105.7,32,93.3,412,24,Four Seam,29
WSH,104,31,94.2,412,25,Four Seam,24
BOS,101.7,32,94.3,412,26,Four Seam,21
MIA,106.8,25,86.2,412,26,Changeup,31
AZ,106.3,38,91.2,412,34,Four Seam,32
SF,106.2,25,96.3,412,36,Four Seam,28
CLE,104.2,25,94.3,412,25,Four Seam,30
OAK,101.6,34,85.4,412,29,Changeup,28
AZ,99.6,32,77.7,412,33,Curveball,32
MIL,102.1,31,90,412,31,Sinker,26
DET,108.6,23,87.1,412,28,Cutter,23
MIL,103.9,34,90.4,412,27,Cutter,32
MIN,102.1,27,92.5,412,26,Four Seam,32
PIT,99.4,32,96.2,412,23,Four Seam,25
CIN,106.1,31,91,412,27,Four Seam,23
LAD,105.2,30,92.3,412,26,Four Seam,30
SD,105.4,25,88.5,412,30,Slider,27
SEA,105.2,32,80.1,412,28,Slider,30
KC,98.5,32,84.2,412,25,Split-Finger,36
LAD,107,32,78.3,411,33,Changeup,34
OAK,104,24,90.9,411,29,Sinker,29
MIL,103.8,27,95.2,411,26,Four Seam,31
SEA,108.3,23,94.9,411,28,Sinker,31
CHC,114.3,28,89.7,411,33,Cutter,26
WSH,103,25,81.9,411,38,Slider,28
SF,102.3,32,87.2,411,30,Changeup,27
LAA,102.5,34,81.2,411,23,Slider,35
CLE,102.8,34,70.1,411,26,Other,37
MIN,107.1,27,86.1,411,25,Changeup,25
BOS,110.5,21,92.7,411,32,Cutter,25
KC,102,31,85.6,411,26,Slider,39
PHI,108.7,21,95.8,411,31,Four Seam,37
NYY,108.6,26,97.8,411,32,Four Seam,22
BAL,105.9,28,85.8,411,27,Slider,29
COL,100.8,29,93.7,411,34,Sinker,34
HOU,104.6,25,95.4,411,26,Four Seam,23
BAL,107.8,30,82.5,411,27,Changeup,28
CIN,105.3,35,97.2,411,23,Four Seam,26
MIA,108.3,21,93.6,411,26,Four Seam,28
NYY,103.6,30,98.1,411,32,Four Seam,28
OAK,100,26,81.8,411,28,Changeup,26
TB,106.2,26,89,411,36,Sinker,31
MIN,104.6,34,93,411,34,Four Seam,24
CIN,107.6,33,80.9,411,35,Knuckle Curve,37
BOS,109.2,34,81.4,411,27,Changeup,30
TOR,104.1,24,94.1,411,29,Four Seam,34
DET,104.4,30,80.3,411,25,Curveball,35
SEA,104.9,28,80.9,411,26,Slider,26
ATL,108,27,81.6,411,30,Changeup,25
CLE,103.7,25,88.7,411,27,Cutter,26
MIN,107.3,31,92.6,411,26,Four Seam,25
LAA,104.5,29,96.9,411,26,Four Seam,24
MIN,107.1,22,91.6,411,30,Sinker,33
AZ,105.7,24,86.9,411,24,Slider,31
TB,106.6,35,82.4,411,31,Cutter,22
MIL,100.9,29,81.4,411,28,Curveball,24
STL,102.6,30,90.8,411,28,Slider,30
OAK,107.8,23,92.4,411,33,Four Seam,25
MIA,108.7,36,99.4,411,27,Four Seam,24
OAK,102.3,27,90.8,411,28,Four Seam,28
AZ,103.7,21,89.9,411,37,Cutter,24
CHC,107.1,32,85.6,411,31,Slider,22
TOR,105,28,92.8,411,36,Four Seam,31
TOR,102.1,26,83,411,24,Slider,24
MIL,105.4,23,92.4,411,30,Cutter,31
NYM,106.7,33,90.8,411,32,Four Seam,29
BOS,107,28,94,411,29,Four Seam,37
SD,103,33,88,411,30,Slider,29
CLE,106,24,94.2,411,27,Four Seam,38
MIN,104.8,27,87.2,411,28,Slider,28
WSH,103.3,30,90,411,36,Sinker,33
CWS,104.8,32,82,411,26,Slider,24
AZ,101.2,28,95.8,411,27,Four Seam,24
TB,106.1,22,94.3,411,28,Four Seam,27
AZ,108.7,21,90.1,411,26,Four Seam,35
OAK,107.5,24,87.7,411,33,Slider,31
TB,101,33,83.3,411,32,Cutter,33
BOS,104.4,30,90.9,411,31,Four Seam,31
CHC,104.3,27,82.5,411,27,Slider,25
STL,104.3,22,78.9,411,26,Curveball,28
TB,105.7,26,82.9,411,25,Curveball,28
CHC,106.2,27,89.9,411,29,Sinker,26
CLE,107,22,85.8,411,25,Slider,27
TB,101.2,28,89.7,411,30,Four Seam,26
DET,105.3,38,87.4,411,27,Slider,35
NYM,107.8,31,97,411,27,Four Seam,24
WSH,104.5,28,95.3,411,29,Four Seam,28
TB,105.1,34,93.3,411,30,Sinker,28
KC,102.2,26,84.9,411,26,Changeup,24
MIN,101,29,88.6,411,31,Split-Finger,29
SEA,106.9,21,91.8,411,28,Four Seam,32
OAK,105.7,25,95.8,411,29,Sinker,30
DET,104.6,30,93.8,411,25,Four Seam,23
STL,104.4,29,76.7,411,34,Curveball,28
PHI,105.6,23,90.6,411,25,Sinker,30
STL,106.3,32,98.8,411,28,Four Seam,31
MIL,105.3,22,95,411,30,Four Seam,28
TB,103.9,25,93.6,411,25,Four Seam,29
LAA,102.8,34,81.1,411,24,Slider,33
COL,102,26,95.2,411,27,Four Seam,24
AZ,103.9,28,86.2,411,25,Slider,28
DET,104.1,28,91.4,411,29,Four Seam,24
SD,106.1,28,88.3,411,38,Cutter,38
TOR,103.2,28,93.9,411,28,Four Seam,24
MIL,102.9,27,81.6,411,28,Slider,31
TB,107.4,30,78.7,411,30,Changeup,25
TOR,109.9,32,94.1,411,30,Sinker,28
MIN,101,27,82.9,411,26,Changeup,36
NYM,108.1,25,94.2,411,38,Four Seam,22
MIN,107.8,27,91.6,411,26,Four Seam,32
PIT,104.4,29,89.1,411,29,Changeup,27
MIN,103.1,32,77.7,411,30,Curveball,26
ATL,103.4,29,89.3,411,35,Cutter,31
MIA,106,24,91.8,411,27,Slider,30
TB,105.1,35,88.8,411,28,Cutter,32
MIA,107.4,24,94.5,411,26,Four Seam,35
WSH,108.6,32,97.9,411,30,Four Seam,26
TB,101,30,54.2,411,28,Other,32
MIA,109.7,36,79.5,411,31,Slider,30
SEA,102.7,32,83.1,411,29,Slider,29
MIL,109.9,21,95.1,411,27,Four Seam,30
CHC,107.6,20,90.4,411,29,Sinker,29
TEX,110.3,27,85.5,411,29,Slider,22
SEA,103.9,29,85.8,411,39,Sinker,31
BAL,106.2,32,92.8,410,32,Four Seam,27
MIN,106.1,26,84.4,410,26,Changeup,33
PHI,103.7,30,95,410,31,Four Seam,30
TB,107.7,21,86.6,410,27,Curveball,28
CHC,102.3,26,94.1,410,28,Four Seam,30
MIA,105.3,28,92.1,410,27,Four Seam,30
AZ,106.1,29,88.4,410,29,Cutter,27
NYM,108,32,78.6,410,33,Curveball,28
WSH,104.5,34,87.2,410,38,Four Seam,26
PIT,118,16,89,410,28,Changeup,33
AZ,106.4,22,89.2,410,41,Sinker,29
WSH,104.9,24,77.8,410,29,Curveball,26
BOS,103.5,25,91.1,410,29,Four Seam,33
LAD,103.9,27,97.8,410,25,Sinker,30
PHI,112,26,98.9,410,27,Sinker,25
BOS,103.6,30,93.8,410,24,Sinker,28
TB,106.5,26,89.1,410,36,Sinker,35
PHI,108.8,29,83.5,410,35,Slider,31
COL,99.9,25,92.7,410,25,Sinker,26
NYM,105.7,34,95.7,410,26,Four Seam,37
OAK,104.5,29,84,410,26,Changeup,31
OAK,105.1,23,84.9,410,33,Changeup,32
TB,105.1,27,94.6,410,27,Four Seam,32
BOS,105,24,95,410,27,Four Seam,27
STL,103.8,24,96.7,410,26,Sinker,32
LAA,107.7,35,87.1,410,28,Cutter,37
PHI,108.7,29,93,410,28,Four Seam,36
MIA,100.8,29,94.6,410,25,Four Seam,26
DET,107.4,27,89.3,410,28,Sinker,27
WSH,106.9,35,92.2,410,29,Sinker,24
PHI,110.1,22,84,410,27,Changeup,25
TOR,105,27,94.6,410,28,Four Seam,27
COL,103.2,26,88.6,410,31,Slider,28
OAK,102.5,27,78.8,410,32,Slider,29
WSH,106.6,25,98.1,410,31,Sinker,25
WSH,105.3,41,88.3,410,32,Cutter,32
LAA,104.7,27,96.8,410,28,Four Seam,33
CHC,106,22,83.3,410,37,Knuckle Curve,27
TB,102.8,28,97.6,410,25,Four Seam,33
LAA,107.9,35,97.8,410,25,Sinker,32
ATL,101.4,32,88.2,410,24,Changeup,29
SD,106.2,22,81,410,30,Curveball,28
CWS,104.6,33,95.7,410,35,Four Seam,30
WSH,102.9,29,83.4,410,25,Slider,32
BOS,104.4,31,95.6,410,35,Sinker,30
KC,105.3,26,90.5,410,25,Four Seam,31
TOR,107.2,28,85.8,410,28,Changeup,27
MIN,104.4,26,85,410,32,Knuckle Curve,33
AZ,102.9,25,91.1,410,29,Sinker,38
CLE,104.5,34,80.8,410,27,Curveball,25
DET,106,30,94.9,410,25,Four Seam,29
OAK,102.3,31,94.4,410,24,Four Seam,28
MIA,105.7,35,94.4,410,31,Four Seam,28
BAL,105.5,29,91.6,410,30,Four Seam,30
CIN,103.3,27,89.1,410,35,Four Seam,30
KC,105.1,24,95.7,410,25,Four Seam,34
TEX,105.5,33,89.8,410,25,Four Seam,30
MIN,109.6,30,93.6,410,26,Four Seam,26
CHC,104.9,31,77.9,410,29,Slider,31
PIT,103.8,26,82.1,410,25,Slider,27
WSH,106.2,28,95,410,24,Four Seam,27
MIL,106.3,32,83.8,410,30,Slider,24
DET,107.6,26,77.8,410,29,Slider,37
CHC,105.3,33,86.9,410,33,Cutter,24
WSH,103.2,32,91.2,410,38,Sinker,21
PHI,101.3,28,94.3,410,33,Sinker,32
CHC,106.1,25,86,410,33,Cutter,34
MIL,105.2,30,83.2,410,30,Changeup,31
MIN,111.8,20,77.8,410,30,Changeup,27
MIL,106.8,25,95.8,410,29,Sinker,33
HOU,111,33,93.6,410,26,Sinker,30
PHI,103.4,29,92,410,26,Sinker,26
CWS,103,33,82.3,410,28,Changeup,23
PIT,106.9,33,84.7,410,29,Slider,27
WSH,101.7,29,83.1,410,25,Curveball,33
TOR,104.9,26,93,410,28,Four Seam,33
ATL,110.4,19,94.8,410,28,Four Seam,29
DET,104.4,35,84.2,410,32,Slider,24
NYM,109.4,27,87.3,410,31,Changeup,31
LAA,108.1,31,83,410,24,Slider,27
HOU,106.1,22,79.4,410,29,Curveball,27
TOR,104,28,81.3,410,27,Slider,29
LAA,104,26,77.2,410,24,Curveball,29
CLE,106.1,31,89.4,410,27,Sinker,30
LAA,107.4,36,91.1,410,24,Sinker,32
SD,101.4,28,80.2,410,30,Slider,31
KC,108,24,92.4,410,26,Sinker,35
CWS,108.4,22,90,410,36,Sinker,26
CWS,100.6,33,88.6,410,32,Slider,27
WSH,105.1,35,87.3,410,35,Four Seam,29
SEA,104.7,27,94.9,410,31,Sinker,30
PIT,103.7,28,89.3,410,28,Changeup,29
CIN,103.7,35,94.4,410,24,Four Seam,31
PIT,108.1,22,94.7,410,29,Sinker,28
CIN,106.8,30,85.5,410,26,Slider,33
BOS,107.6,24,88.8,410,32,Slider,27
OAK,101.8,28,76.9,410,26,Curveball,26
OAK,105,30,78.9,409,29,Curveball,33
NYM,104.5,27,95.2,409,30,Four Seam,26
SD,104.6,29,81.1,409,30,Slider,32
MIA,103.8,34,97.3,409,27,Four Seam,21
NYM,104.6,27,87.7,409,33,Cutter,28
CLE,101.5,31,91.3,409,25,Four Seam,29
SF,109.1,31,95.1,409,27,Four Seam,25
OAK,106.8,33,94.5,409,28,Four Seam,31
OAK,100.9,29,94.3,409,26,Sinker,32
LAD,105.3,37,80.5,409,28,Curveball,27
HOU,105.5,28,93.3,409,29,Sinker,25
SD,104.1,26,83.6,409,30,Slider,29
SF,105.6,25,96.8,409,30,Four Seam,23
CLE,105.2,28,88.2,409,27,Cutter,27
HOU,100.9,32,93.5,409,26,Four Seam,31
CLE,104.4,29,91.1,409,24,Four Seam,34
PHI,105,24,92.6,409,26,Sinker,42
NYM,100.2,29,91.7,409,32,Four Seam,33
AZ,107.4,25,87.9,409,33,Cutter,30
CLE,106.3,22,85,409,27,Slider,29
DET,104.4,30,89.3,409,28,Four Seam,35
CIN,105,23,82.7,409,30,Slider,30
CIN,104.8,25,85.1,409,35,Changeup,25
DET,106,33,94.9,409,27,Four Seam,21
LAD,108.5,22,93.5,409,26,Four Seam,26
TEX,108.9,37,79,409,27,Slider,31
SEA,105.4,30,78.1,409,39,Slider,28
MIL,104.3,33,89.6,409,28,Changeup,32
TOR,102.5,26,83.4,409,28,Slider,24
BAL,106.6,27,86.9,409,27,Changeup,27
AZ,100.5,33,80.7,409,29,Changeup,31
MIN,110.2,41,89.3,409,31,Split-Finger,30
LAD,108.5,19,97.5,409,25,Sinker,30
MIA,104,28,96.7,409,26,Sinker,26
MIA,107.7,34,91.3,409,25,Four Seam,31
HOU,106.2,25,79.5,409,39,Curveball,31
WSH,105.6,23,93.8,409,33,Sinker,28
DET,105.8,25,91.9,409,32,Four Seam,27
COL,106.7,32,94.2,409,26,Four Seam,28
SD,102.1,30,86.6,409,36,Cutter,32
NYY,105.6,32,94.1,409,31,Four Seam,32
OAK,104.8,28,93.6,409,28,Sinker,31
DET,102,25,99.1,409,27,Four Seam,28
SF,108.3,23,94.9,409,31,Sinker,24
SEA,107.1,35,94,409,31,Four Seam,32
WSH,102.5,28,78.6,409,30,Curveball,29
WSH,106.7,22,91.1,409,30,Sinker,28
DET,105.7,25,96.9,409,27,Sinker,35
PIT,105.3,26,92.9,409,23,Four Seam,42
SD,107,24,84.3,409,32,Slider,25
CHC,101.6,26,83.8,409,32,Slider,28
TOR,104,37,95.1,409,28,Sinker,24
SEA,105.6,28,92.9,409,31,Sinker,32
NYM,106.6,26,89.5,409,36,Cutter,25
SEA,102.3,30,79.4,409,28,Slider,23
MIL,104.1,25,96,409,24,Sinker,27
LAD,102.9,30,92.4,409,37,Sinker,36
HOU,99.4,29,83.5,409,26,Changeup,30
TOR,104.2,26,83.4,409,28,Slider,27
CLE,105.2,35,91,409,27,Sinker,33
AZ,105.1,35,90.7,409,37,Cutter,29
