Player,Opp_Team,Exit_Velocity,Angle,Pitch_Speed,Distance,Pitch_Type
Calhoun,CWS,104.2,25,97.5,418,4
Semien,NYY,102.3,29,97.4,386,4
GarcÃ­a,NYY,101.7,30,97.4,368,4
Happ,CIN,99.5,29,97.4,392,4
Meadows,PHI,104,20,97.4,401,4
Crawford,CIN,101.8,33,97.4,383,Sinker
Lowe,TEX,105.6,26,97.4,420,4
Castro,LAA,104.4,30,97.4,397,4
Santana,DET,104.3,24,97.4,422,Sinker
Santander,HOU,102.6,22,97.4,378,4
Semien,NYY,101,37,97.4,370,4
Davis,COL,105.7,30,97.3,440,4
Vogelbach,MIA,114.3,22,97.3,357,4
Aguilar,SF,110.6,16,97.3,407,4
Rooker,TOR,106.7,29,97.3,409,4
Collins,MIN,102.9,28,97.3,410,4
Springer,TB,104.2,23,97.3,406,4
Donaldson,BOS,106.7,30,97.3,413,4
Ohtani,CWS,106.3,29,97.3,421,4
BÃ¡ez,CIN,108.2,27,97.3,434,4
Gamel,MIL,103.5,26,97.3,394,Sinker
Odor,KC,109,18,97.2,406,4
Yastrzemski,CIN,109.4,21,97.2,389,Sinker
O'Hearn,CWS,104,30,97.2,411,4
Vogelbach,STL,99.5,30,97.2,397,Sinker
Brantley,CWS,106.9,22,97.2,375,4
Phillips,NYY,102.7,30,97.2,385,Sinker
Semien,BOS,97.4,27,97.2,348,Sinker
Hays,NYY,102.1,29,97.2,393,4
Goldschmidt,CLE,98.2,29,97.2,365,4
Canha,SEA,96.9,31,97.2,362,4
Guerrero Jr.,TB,113.9,15,97.1,356,4
RamÃ­rez,NYY,104.7,30,97.1,389,4
Cameron,CWS,104.2,27,97.1,397,4
Lowe,BOS,108,21,97.1,391,4
Belt,NYM,105.4,28,97.1,422,4
Soto,NYM,97.4,36,97.1,349,4
Solano,OAK,101.6,25,97.1,381,Sinker
Wisdom,CLE,108.9,23,97.1,423,4
Adell,DET,111.9,29,97.1,416,Sinker
Schwindel,CWS,105,39,97.1,402,4
RamÃ­rez,CWS,103.3,38,97.1,390,4
Hosmer,ATL,109.9,19,97.1,421,4
Longoria,SD,100.3,31,97.1,381,Sinker
Santana,CWS,106.5,29,97.1,407,4
Shaw,LAD,108.3,30,97,443,4
Goldschmidt,MIL,108,26,97,431,Sinker
Turner,SD,105.7,29,97,396,4
Zimmerman,TB,101.3,29,97,363,4
Benintendi,OAK,103.5,24,97,401,4
Joe,CHC,103.3,29,97,410,4
Shaw,TEX,103.5,30,97,423,Sinker
Ohtani,CWS,115.2,21,97,451,4
Kim,COL,104.3,29,97,420,4
Harrison,NYY,105,25,97,389,4
France,OAK,105.5,27,97,394,4
Springer,TB,103.9,26,97,403,4
Judge,BOS,111.4,18,97,358,4
Votto,PIT,100.5,25,97,376,4
Alvarez,TEX,91.1,31,97,348,4
Semien,BAL,102.7,37,97,395,4
Odor,SEA,98.7,33,97,370,4
Beaty,MIL,101.8,33,97,399,4
Rojas,BOS,105.2,33,96.9,407,4
Cruz,OAK,105.3,31,96.9,398,4
Escobar,PHI,105.1,37,96.9,408,4
Lewis,OAK,109.7,30,96.9,425,4
Canha,TOR,104.7,21,96.9,354,4
Bichette,KC,107.5,20,96.9,391,Sinker
Pham,STL,105.9,20,96.9,382,Sinker
MejÃ­a,PHI,103.1,31,96.9,409,4
UrÃ­as,LAD,111.5,22,96.9,394,Sinker
AraÃºz,CLE,100.2,21,96.9,375,4
SanÃ³,MIL,106.7,18,96.9,364,4
Hiura,CHC,102.3,26,96.9,389,4
Olson,KC,98.1,32,96.9,367,4
Santana,CWS,110.3,31,96.9,441,4
Walsh,CWS,103.1,23,96.9,399,4
