Magnitude
1.3
1.6
0.9
1.4
1.2
1.9
1.4
1.2
1.6
0.7
1.4
0.5
1.4
0.9
1.1
0.9
1.8
0.4
1.5
1.3
1.4
0.9
0.6
1.7
1
1.2
1.5
1.8
2.1
1.1
