Weight
7.97
9.5
9.61
9.5
14.6
11.5
9.5
13.5
8.39
9.5
8.5
12.5
12.1
8.5
10.41
8.8
12.18
12.86
6.49
13.8
9.27
13.5
13.67
10.23
8.5
12.43
8.89
14.92
10.16
13.47
13.84
10.58
11.91
14.61
13.03
12.9
13.87
11.43
10.53
10.4
11.99
13.57
5.83
10
11.58
9.09
17.05
7.44
12.23
10.2
13.37
10.52
9.2
9.58
10.26
8.83
15.49
12.54
9.75
7.58
10.91
10.33
14.62
11.84
6.82
11.81
8.07
9.9
11.76
8.1
8.93
9.51
10.39
12.59
4.97
12.79
12.72
7.55
11.5
9.39
14.31
10.57
11.64
7.07
9.36
9.13
11.39
11.45
16.23
10.36
11.35
10.8
7.79
15.33
9.46
10.09
12.67
7.25
16.15
11.47
13.34
8.34
12.22
9.93
14.02
11.03
13.86
12.4
14.04
10.67
7.6
15.09
15.08
13.15
6.46
12.08
11.48
10.75
11.48
8.24
11.74
11.32
8.31
10.84
10.55
7.57
11.14
14.28
13.11
12.38
15.63
12.44
11.57
11.1
15.55
12.27
12.97
12.38
13.09
10.16
11.69
9.98
10.07
12.65
12.61
10.35
6.02
10.56
5.3
11.59
