Cholesterol
232
162
126
182
188
147
246
212
135
278
277
195
133
174
196
190
178
226
167
188
229
188
167
205
160
168
113
191
142
260
200
193
197
223
173
229
139
219
124
245
182
187
150
165
143
261
203
179
164
206
