Sample(Protein)
72.53
39
173.51
111.75
105.15
84.75
70.88
158.84
109.8
54.39
69.76
65.68
45.18
116.09
64.91
89.4
29.95
105.54
1.45
58
52
32.96
54.55
49.15
78.14
134.92
116.36
131.58
184.11
22.78
38.62
84.98
37.9
173.56
161.26
63.67
48.93
50.33
85.67
69.15
85.14
74.12
63.83
103.78
31.44
96.58
46.45
54.2
122.98
117.36
