Caffeine
158
335
597
443
0
42
0
295
2
90
160
0
0
11
3
72
338
2
14
0
83
182
43
2
58
122
0
51
144
0
63
104
0
0
105
90
178
88
33
61
86
55
240
97
370
44
154
216
48
95
90
289
33
0
0
38
361
224
39
113
111
74
138
379
164
32
0
351
183
157
85
102
311
60
129
0
411
102
1
0
156
360
0
0
6
0
34
824
0
2
0
130
0
108
7
144
3
581
204
307
