Caffeine
480
289
1152
264
411
1
329
62
113
6
0
102
0
0
5
67
137
346
85
151
5
115
67
348
40
511
67
178
86
71
6
105
144
5
217
33
0
54
0
6
144
203
0
357
2
36
196
338
113
45
102
29
39
0
0
27
67
90
9
434
69
171
100
0
1
0
110
0
114
71
53
163
78
0
48
131
36
5
408
34
102
0
0
0
96
0
26
175
0
317
5
49
114
246
108
340
264
239
11
264
