Name,Control,State,Size_Category,Highest_Degree,HBCU,Distance_Ed,Tuition,Admit_Rate,GradRate4,GradRate6,GradRate6_men,GradRate6_women,GradRate_Pell,Percent_Aid,StudentFaculty_Ratio,Enrollment
Anderson University,Private,SC,2,9,No,Yes,46684,50,51,64,56,67,51,100,16,3733
Andrews University,Private,MI,2,9,No,Yes,42950,82,41,73,69,76,68,100,10,2753
Angelo State University,Public,TX,4,9,No,Yes,22766,70,31,45,41,47,39,97,19,7971
Anna Maria College,Private,MA,2,8,No,Yes,57532,73,40,48,34,58,45,100,13,1365
Antioch College,Private,OH,1,5,No,Yes,50383,72,18,32,43,29,23,100,7,103
Appalachian Bible College,Private,WV,1,7,No,Yes,28102,46,71,71,75,69,57,100,7,187
Appalachian State University,Public,NC,5,9,No,Yes,20799,85,57,73,69,76,68,75,17,19619
Aquinas College,Private,MI,2,7,No,Yes,49200,89,40,60,53,64,53,100,10,1285
Arcadia University,Private,PA,2,9,No,Yes,62990,82,54,62,64,61,59,99,10,3241
Arizona Christian University,Private,AZ,2,5,No,Yes,49424,76,30,36,26,60,26,100,18,831
Arizona State University Campus Immersion,Public,AZ,5,9,No,Yes,29774,88,52,66,63,70,60,92,18,73871
Arkansas State University,Public,AR,4,9,No,Yes,22653,63,38,52,47,56,45,100,14,12190
Arkansas Tech University,Public,AR,3,9,No,Yes,21421,94,29,43,42,44,37,94,18,7799
Art Academy of Cincinnati,Private,OH,1,7,No,Yes,49890,100,34,38,31,40,38,100,9,222
Asbury University,Private,KY,2,7,No,Yes,45462,77,56,65,59,69,52,100,14,1477
Ashland University,Private,OH,2,9,No,Yes,37538,70,56,68,61,73,53,98,12,3719
Assumption University,Private,MA,2,8,No,Yes,62768,86,69,72,66,75,68,100,12,2592
Auburn University,Public,AL,5,9,No,Yes,33650,71,55,81,77,84,66,76,20,29525
Auburn University at Montgomery,Public,AL,3,9,No,Yes,21258,97,13,36,33,37,31,99,15,4743
Augsburg University,Private,MN,2,9,No,Yes,55929,76,45,58,55,61,53,100,13,3418
Augusta University,Public,GA,3,9,No,Yes,24764,73,29,50,42,55,44,95,16,8662
Augustana College,Private,IL,2,7,No,Yes,60219,69,76,79,72,83,74,100,11,2453
Augustana University,Private,SD,2,9,No,Yes,52272,72,57,71,68,72,59,100,11,1808
Aurora University,Private,IL,3,9,No,Yes,41682,86,46,55,42,64,52,99,20,6144
Austin College,Private,TX,2,7,No,No,58927,43,65,68,66,70,62,100,11,1247
Austin Peay State University,Public,TN,3,9,No,Yes,30107,93,23,40,34,44,38,99,15,8437
Ave Maria University,Private,FL,2,9,No,Yes,41977,64,57,61,52,69,51,100,18,1234
Averett University,Private,VA,2,8,No,Yes,51706,48,36,42,38,46,33,100,12,1418
Avila University,Private,MO,2,7,No,Yes,31506,68,29,39,32,46,37,99,10,1241
Azusa Pacific University,Private,CA,3,9,No,Yes,55598,94,53,72,65,75,86,99,10,8257
Babson College,Private,MA,2,7,No,Yes,76360,25,90,94,93,94,97,53,16,3598
Bacone College,Private,OK,1,5,No,Yes,31050,55,4,7,5,14,6,96,11,286
Baker College,Private,MI,2,9,No,Yes,24620,41,5,17,13,19,18,96,8,4009
Baker University,Private,KS,2,9,No,Yes,47420,99,49,62,58,66,63,100,12,1938
Baldwin Wallace University,Private,OH,2,8,No,Yes,56290,79,54,66,61,72,56,100,11,3318
Ball State University,Public,IN,5,9,No,Yes,25254,68,54,68,64,71,57,95,14,18819
Baptist Health Sciences University,Private,TN,1,9,No,Yes,22740,35,47,59,75,56,59,95,8,857
Barclay College,Private,KS,1,8,No,Yes,38490,54,33,48,31,65,74,100,9,173
Bard College,Private,NY,2,9,No,No,77628,60,57,71,68,72,83,81,9,2548
Barry University,Private,FL,3,9,No,Yes,49044,64,21,41,36,43,39,100,15,6902
Barton College,Private,NC,2,7,No,Yes,47750,99,44,52,49,53,47,100,13,1158
Bates College,Private,ME,2,5,No,No,77870,17,88,92,91,92,90,44,10,1876
Baylor University,Private,TX,5,9,No,Yes,68126,57,68,82,80,83,75,97,16,20082
Beacon College,Private,FL,1,5,No,Yes,65020,57,52,72,75,64,58,98,11,398
Belhaven University,Private,MS,2,9,No,Yes,38425,64,44,54,41,63,52,100,10,4159
Bellarmine University,Private,KY,2,9,No,Yes,61218,86,58,65,68,64,50,100,12,3254
Belmont Abbey College,Private,NC,2,7,No,Yes,33990,99,39,46,41,52,36,100,14,1465
Belmont University,Private,TN,3,9,No,Yes,58305,88,57,68,63,71,56,90,14,8389
Beloit College,Private,WI,2,5,No,Yes,67136,67,67,73,70,77,70,99,10,1069
Bemidji State University,Public,MN,2,7,No,Yes,22856,75,31,46,41,51,38,90,16,3705
Benedict College,Private,SC,2,7,Yes,Yes,30000,86,16,25,17,33,22,96,18,1804
Benedictine College,Private,KS,2,7,No,Yes,51080,98,44,63,57,68,61,100,13,2157
Benedictine University,Private,IL,2,9,No,Yes,49188,80,35,47,42,51,41,100,13,3768
Bennington College,Private,VT,1,7,No,Yes,80648,67,59,68,71,66,70,99,10,839
Bentley University,Private,MA,3,9,No,Yes,75615,61,83,88,85,93,88,81,12,4797
Berea College,Private,KY,2,5,No,No,54396,33,45,66,59,71,63,100,9,1478
Berklee College of Music,Private,MA,3,8,No,Yes,68270,55,57,69,65,75,55,95,10,7055
Berry College,Private,GA,2,7,No,Yes,55500,70,66,72,66,76,67,100,12,2095
Bethany College,Private,WV,1,7,No,Yes,46890,74,36,43,36,61,28,100,12,569
Bethany College,Private,KS,1,5,No,Yes,51560,72,26,30,21,48,31,100,14,690
Bethany Global University,Private,MN,1,7,No,Yes,29195,95,53,56,50,57,87,98,27,354
Bethany Lutheran College,Private,MN,1,7,No,Yes,39430,61,53,63,62,63,63,100,12,714
Bethel College-North Newton,Private,KS,1,5,No,Yes,46831,71,33,47,44,50,42,100,10,432
Bethel University,Private,IN,2,7,No,Yes,44400,98,54,63,59,66,55,100,11,1174
Bethel University,Private,MN,2,9,No,Yes,55300,89,67,74,70,77,63,99,11,3603
Bethel University,Private,TN,2,7,No,Yes,32670,50,26,35,36,34,35,98,13,1698
Bethune-Cookman University,Private,FL,2,7,Yes,Yes,31040,100,15,32,29,35,33,97,15,2678
Binghamton University,Public,NY,4,9,No,Yes,29454,44,75,84,81,87,81,76,19,18199
Biola University,Private,CA,3,9,No,Yes,59500,61,55,70,67,71,63,100,13,4810
