Name,State,Prog Length,School Type,2018_Drate,2017_Drate,2016_Drate
CALIFORNIA INSTITUTE OF TECHNOLOGY,CA,8,2,0,1,0
CALIFORNIA INSTITUTE OF THE ARTS,CA,8,2,4.5,4.6,5
CALIFORNIA LUTHERAN UNIVERSITY,CA,8,2,2.7,1.7,3
CALIFORNIA STATE UNIVERSITY MARITIME ACADEMY,CA,8,1,1.8,2.1,6
"CALIFORNIA STATE UNIVERSITY, FULLERTON",CA,8,1,2.5,2.7,2.6
"CALIFORNIA STATE UNIVERSITY, EAST BAY",CA,8,1,4.4,5.2,5.4
"CALIFORNIA STATE UNIVERSITY, LONG BEACH",CA,8,1,2.4,1.6,2.3
"CALIFORNIA STATE UNIVERSITY, LOS ANGELES",CA,8,1,3.6,1.4,4.3
"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS",CA,8,1,4.1,2.6,5.7
"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO",CA,8,1,4,5.5,5.7
CALIFORNIA POLYTECHNIC STATE UNIVERSITY,CA,8,1,0.7,1.1,0.9
"CALIFORNIA STATE POLYTECHNIC UNIVERSITY, POMONA",CA,8,1,2.6,1.7,2.9
"CALIFORNIA STATE UNIVERSITY, CHICO",CA,8,1,4,3.3,5.1
"CALIFORNIA STATE UNIVERSITY, FRESNO",CA,8,1,3.2,4.7,5
HUMBOLDT STATE UNIVERSITY,CA,8,1,5.9,8.2,7.4
CALIFORNIA STATE UNIVERSITY - SACRAMENTO,CA,8,1,3.9,4.6,4.7
SAN DIEGO STATE UNIVERSITY,CA,8,1,2.2,2.8,2.9
"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE",CA,8,1,3.7,2,3.7
SAN FRANCISCO STATE UNIVERSITY,CA,8,1,4.3,5.2,5.3
SAN JOSE STATE UNIVERSITY,CA,8,1,2.9,3.7,3.5
SONOMA STATE UNIVERSITY,CA,8,1,2.9,4.7,3.5
"CALIFORNIA STATE UNIVERSITY, STANISLAUS",CA,8,1,3.3,4.3,4.4
CERRITOS COMMUNITY COLLEGE,CA,5,1,10.6,7,11.2
CHABOT COLLEGE,CA,5,1,15.2,19.5,14.5
CHAFFEY COMMUNITY COLLEGE,CA,5,1,3.7,5.3,10.1
CHAPMAN UNIVERSITY,CA,8,2,2.1,1.3,1.8
CHURCH DIVINITY SCHOOL OF THE PACIFIC,CA,8,2,0,0,0
CITRUS COLLEGE,CA,5,1,11.1,4.3,10
CLAREMONT GRADUATE UNIVERSITY,CA,8,2,2.9,2.3,3
CLAREMONT MCKENNA COLLEGE,CA,8,2,1.3,0,2
HARVEY MUDD COLLEGE,CA,6,2,0,0,0
PITZER COLLEGE,CA,6,2,1.6,3.5,6.5
POMONA COLLEGE,CA,6,2,0,0,0
SCRIPPS COLLEGE,CA,6,2,0.9,0.9,0
WEST HILLS COMMUNITY COLLEGE,CA,5,1,22.4,29.4,27.6
UNIVERSITY OF SILICON VALLEY,CA,8,3,3.5,6.3,7.6
COLLEGE OF MARIN,CA,5,1,11.9,20.4,21.2
NOTRE DAME DE NAMUR UNIVERSITY,CA,8,2,4.7,6.3,5.8
COLLEGE OF SAN MATEO,CA,5,1,13.2,6.3,7.9
COLLEGE OF THE DESERT,CA,5,1,17.8,20.4,20.4
HOLY NAMES UNIVERSITY,CA,8,2,3.5,3.5,7.3
COLLEGE OF THE REDWOODS,CA,5,1,16.2,22.7,18.8
COLLEGE OF THE SEQUOIAS,CA,5,1,14.1,18.5,23.1
COLLEGE OF THE SISKIYOUS,CA,5,1,15.6,20.7,19.2
CONTRA COSTA COLLEGE,CA,5,1,11.1,15.3,14.6
DIABLO VALLEY COLLEGE,CA,5,1,7.5,11,8.3
CUESTA COLLEGE,CA,5,1,8.7,10.1,6.5
CYPRESS COLLEGE,CA,6,1,8.5,9.6,11.2
DOMINICAN UNIVERSITY OF CALIFORNIA,CA,8,2,2.4,2.6,4
EL CAMINO COLLEGE,CA,5,1,6.2,1.4,4
FOOTHILL COLLEGE,CA,6,1,11.2,13.8,14.9
FULLER THEOLOGICAL SEMINARY,CA,8,2,1,2.3,2.4
FULLERTON COLLEGE,CA,5,1,22.4,15.9,14
GAVILAN COLLEGE,CA,5,1,7.6,19.6,11.5
GLENDALE COMMUNITY COLLEGE,CA,5,1,3.8,5.2,3.7
GOLDEN GATE UNIVERSITY,CA,8,2,1.9,3.9,4.2
GOLDEN WEST COLLEGE,CA,5,1,13.4,12,9.3
GRADUATE THEOLOGICAL UNION,CA,8,2,3,3,5
GROSSMONT COLLEGE,CA,5,1,14.4,15.2,14.4
HARTNELL COMMUNITY COLLEGE,CA,5,1,11.1,12,18.8
HUMPHREYS UNIVERSITY,CA,8,2,4.1,8.8,8.4
LA SIERRA UNIVERSITY,CA,8,2,3.5,4.2,5
UNIVERSITY OF LA VERNE,CA,8,2,3.1,3.2,4
LASSEN COLLEGE,CA,5,1,17.5,28.5,21.6
LOMA LINDA UNIVERSITY,CA,8,2,0.6,1.3,0.9
LONG BEACH CITY COLLEGE,CA,5,1,13.7,7.9,17.5
MASTER'S UNIVERSITY AND SEMINARY (THE),CA,8,2,1.5,2.5,1.6
