Name,State,Prog Length,School Type,2018_Drate,2017_Drate,2016_Drate
GREENSBORO COLLEGE,NC,8,2,10.4,14.5,15.5
GUILFORD COLLEGE,NC,8,2,9,6.7,7.7
HIGH POINT UNIVERSITY,NC,8,2,4.4,4,3.9
ISOTHERMAL COMMUNITY COLLEGE,NC,5,1,20.4,30.4,40.4
JOHNSON C SMITH UNIVERSITY,NC,8,2,14.7,21.3,22.3
LEES-MCRAE COLLEGE,NC,8,2,6.9,6.6,7.1
LENOIR-RHYNE UNIVERSITY,NC,8,2,5.2,7.3,5.5
LIVINGSTONE COLLEGE,NC,6,2,30.6,23.3,14.4
LOUISBURG COLLEGE,NC,5,2,22.5,25.9,26.4
MARS HILL UNIVERSITY,NC,8,2,10.9,11.1,14.4
MEREDITH COLLEGE,NC,8,2,4.1,4.5,4.8
METHODIST UNIVERSITY,NC,8,2,12,8,10.3
MONTREAT COLLEGE,NC,8,2,8.8,8.7,12.5
UNIVERSITY OF MOUNT OLIVE,NC,8,2,7.5,6.6,10.9
NORTH CAROLINA CENTRAL UNIVERSITY,NC,8,1,8.2,6.9,8.3
NORTH CAROLINA WESLEYAN COLLEGE,NC,8,2,11.2,11,14.1
WILLIAM PEACE UNIVERSITY,NC,6,2,9.8,7.8,10.2
UNIVERSITY OF NORTH CAROLINA AT PEMBROKE,NC,8,1,10.2,9.5,10.8
PFEIFFER UNIVERSITY,NC,8,2,5.3,7.6,6.2
CAROLINA UNIVERSITY,NC,8,2,11.3,14.5,10.4
QUEENS UNIVERSITY OF CHARLOTTE,NC,8,2,3.2,3.4,4.4
SALEM COLLEGE,NC,8,2,4.4,6.3,4.1
SHAW UNIVERSITY,NC,8,2,25.1,21.4,21.3
SOUTHEASTERN COMMUNITY COLLEGE,NC,5,1,13.4,16.6,14.5
SAINT AUGUSTINE'S UNIVERSITY,NC,6,2,29.4,22.3,18.6
SURRY COMMUNITY COLLEGE,NC,5,1,0,7.1,12.9
NORTH CAROLINA STATE UNIVERSITY,NC,8,1,2,2.9,2.8
UNIVERSITY OF NORTH CAROLINA - CHAPEL HILL,NC,8,1,1.4,1.9,1.7
UNIVERSITY OF NORTH CAROLINA - CHARLOTTE,NC,8,1,4.4,5.9,6.1
UNIVERSITY OF NORTH CAROLINA -GREENSBORO,NC,8,1,5.3,5.2,6.4
WAKE FOREST UNIVERSITY,NC,8,2,0.6,1.6,1.4
WARREN WILSON COLLEGE,NC,8,2,7.6,3.5,4.5
WAYNE COMMUNITY COLLEGE,NC,5,1,4.7,19.7,19.6
WESTERN CAROLINA UNIVERSITY,NC,8,1,5.2,6.5,6
WESTERN PIEDMONT COMMUNITY COLLEGE,NC,5,1,13.2,18.7,13.7
WILKES COMMUNITY COLLEGE,NC,5,1,16.5,22.5,29.6
UNIVERSITY OF NORTH AT CAROLINA WILMINGTON (THE),NC,8,1,3.1,3.9,4
WINGATE UNIVERSITY,NC,8,2,4,3.9,4.4
WINSTON-SALEM STATE UNIVERSITY,NC,8,1,11.2,13.6,15
BISMARCK STATE COLLEGE,ND,6,1,5.9,7.9,6.4
DICKINSON STATE UNIVERSITY,ND,8,1,6.6,7.3,5.6
UNIVERSITY OF JAMESTOWN,ND,8,2,4.7,5.9,3.6
LAKE REGION STATE COLLEGE,ND,5,1,10.8,11.7,12.7
UNIVERSITY OF MARY,ND,8,2,3,4.7,5
MAYVILLE STATE UNIVERSITY,ND,8,1,8.4,13.2,10.5
MINOT STATE UNIVERSITY,ND,8,1,6.3,6.8,8.3
DAKOTA COLLEGE AT BOTTINEAU,ND,5,1,15.8,23.6,20
NORTH DAKOTA STATE COLLEGE OF SCIENCE,ND,5,1,11,12.5,11.8
NORTH DAKOTA STATE UNIVERSITY - FARGO,ND,8,1,2.6,3.1,2.6
UNIVERSITY OF NORTH DAKOTA,ND,8,1,2.8,2.9,3.6
WILLISTON STATE COLLEGE,ND,5,1,16,13.5,14.9
VALLEY CITY STATE UNIVERSITY,ND,8,1,7.3,9.4,7.4
ANTIOCH UNIVERSITY,OH,8,2,4,4.1,3.5
ART ACADEMY OF CINCINNATI,OH,8,2,14.6,18,12.6
ASHLAND UNIVERSITY,OH,8,2,4.1,4,3.7
BALDWIN WALLACE UNIVERSITY,OH,8,2,3.8,4.9,5
BLUFFTON UNIVERSITY,OH,8,2,5,6.2,6.8
BOWLING GREEN STATE UNIVERSITY,OH,8,1,6.8,7.6,8.6
CAPITAL UNIVERSITY,OH,8,2,4.1,4.8,4.2
CASE WESTERN RESERVE UNIVERSITY,OH,8,2,1.5,1.4,1.5
CEDARVILLE UNIVERSITY,OH,8,2,1.7,2,2.1
CENTRAL STATE UNIVERSITY,OH,8,1,16.5,24.2,26.9
OHIO CHRISTIAN UNIVERSITY,OH,8,2,12.5,16.5,18.9
CLEVELAND INSTITUTE OF MUSIC (THE),OH,8,2,3.7,1.3,1
CLEVELAND STATE UNIVERSITY,OH,8,1,5.7,7.6,7.6
MOUNT ST. JOSEPH UNIVERSITY,OH,8,2,4.6,8.3,7.7
OHIO DOMINICAN UNIVERSITY,OH,8,2,4.8,8.5,6.1
FRANCISCAN UNIVERSITY OF STEUBENVILLE,OH,8,2,1.4,2.4,3.2
COLLEGE OF WOOSTER (THE),OH,6,2,2.4,2.4,2.7
COLUMBUS COLLEGE OF ART & DESIGN,OH,8,2,5.9,12.2,7.4
CUYAHOGA COMMUNITY COLLEGE,OH,5,1,11.2,15.2,17
DEFIANCE COLLEGE,OH,8,2,8.4,10.4,7.9
DENISON UNIVERSITY,OH,6,2,0.8,2.4,3.3
UNIVERSITY OF FINDLAY (THE),OH,8,2,2.5,4.7,4
FRANKLIN UNIVERSITY,OH,8,2,5,7.4,8.2
HEIDELBERG UNIVERSITY,OH,8,2,6.7,7.4,8.8
HIRAM COLLEGE,OH,8,2,9.1,8.5,7.8
JOHN CARROLL UNIVERSITY,OH,8,2,2.1,2.9,3.8
KENT STATE UNIVERSITY,OH,8,1,5.8,8.5,9.2
KENYON COLLEGE,OH,6,2,0.5,1.2,0.5
LAKE ERIE COLLEGE,OH,8,2,10.1,6.7,8
LORAIN COUNTY COMMUNITY COLLEGE,OH,6,1,11.7,14.8,14.5
LOURDES UNIVERSITY,OH,8,2,8,7.9,11.6
MALONE UNIVERSITY,OH,8,2,5.5,5.5,5.7
MARIETTA COLLEGE,OH,8,2,5.4,6.2,3.5
METHODIST THEOLOGICAL SCHOOL IN OHIO,OH,8,2,0.9,2.6,0
MIAMI UNIVERSITY,OH,8,1,4,5.8,7.4
WRIGHT STATE UNIVERSITY,OH,8,1,5.5,8.6,8.6
UNIVERSITY OF MOUNT UNION,OH,8,2,3.1,6.9,5.9
MUSKINGUM UNIVERSITY,OH,8,2,6.2,8.5,9.9
NOTRE DAME COLLEGE OF OHIO,OH,8,2,10.2,10.4,9
OBERLIN COLLEGE,OH,8,2,2,1.7,2
OHIO NORTHERN UNIVERSITY,OH,8,2,2.6,2.8,3.7
OHIO STATE UNIVERSITY (THE),OH,8,1,3.6,4.4,4.5
OHIO UNIVERSITY,OH,8,1,5.1,6.7,7.5
OHIO WESLEYAN UNIVERSITY,OH,6,2,3.3,4.5,2.9
OTTERBEIN UNIVERSITY,OH,8,2,3.6,4,4
PONTIFICAL COLLEGE JOSEPHINUM,OH,8,2,0,0,0
FIRELANDS REGIONAL MEDICAL CENTER,OH,11,2,6.4,8.5,3
UNIVERSITY OF RIO GRANDE,OH,8,2,17.9,18.8,23.5
SINCLAIR COMMUNITY COLLEGE,OH,6,1,7.6,16,18.5
TIFFIN UNIVERSITY,OH,8,2,8,11.5,9.9
UNITED THEOLOGICAL SEMINARY,OH,8,2,7.2,6.1,5.3
UNIVERSITY OF AKRON (THE),OH,8,1,7.4,10,10.1
UNIVERSITY OF CINCINNATI,OH,8,1,4.7,7.2,6.9
UNIVERSITY OF DAYTON,OH,8,2,1.4,2.5,2.1
UNIVERSITY OF TOLEDO,OH,8,1,7,8.6,8.3
URSULINE COLLEGE,OH,8,2,2.9,4.7,4.6
WALSH UNIVERSITY,OH,8,2,3.9,3.6,4
WILBERFORCE UNIVERSITY,OH,8,2,31.7,26.6,24.6
WILMINGTON COLLEGE,OH,8,2,5.8,8.5,5.5
WITTENBERG UNIVERSITY,OH,8,2,5.9,9.3,5.5
XAVIER UNIVERSITY,OH,8,2,3.1,2.7,5.2
YOUNGSTOWN STATE UNIVERSITY,OH,8,1,7.5,11.6,11.8
WESTERN OKLAHOMA STATE COLLEGE,OK,5,1,13.3,22.1,18.2
BACONE COLLEGE,OK,6,2,11.2,16.2,13
SOUTHERN NAZARENE UNIVERSITY,OK,8,2,4.2,9,8.1
CAMERON UNIVERSITY,OK,8,1,11.2,14.3,15.4
OKLAHOMA WESLEYAN UNIVERSITY,OK,8,2,7.1,7.5,8.8
UNIVERSITY OF CENTRAL OKLAHOMA,OK,8,1,8,10.9,10.1
CONNORS STATE COLLEGE,OK,5,1,7.3,17.9,18.7
EAST CENTRAL UNIVERSITY,OK,8,1,6.7,10.3,11.6
EASTERN OKLAHOMA STATE COLLEGE,OK,5,1,16.9,17.9,20.6
REDLANDS COMMUNITY COLLEGE,OK,5,1,6.3,18,19.8
LANGSTON UNIVERSITY,OK,8,1,16.3,20.5,22.9
MURRAY STATE COLLEGE,OK,5,1,14.8,17,18.6
NORTHEASTERN OKLAHOMA A & M COLLEGE,OK,5,1,9.3,21.5,23.3
NORTHEASTERN STATE UNIVERSITY,OK,8,1,3.7,8.9,10.6
NORTHERN OKLAHOMA COLLEGE,OK,5,1,6.3,14.6,16.2
NORTHWESTERN OKLAHOMA STATE UNIVERSITY,OK,8,1,6.2,10.7,10.1
OKLAHOMA BAPTIST UNIVERSITY,OK,8,2,4,8.2,9.4
OKLAHOMA CHRISTIAN UNIVERSITY,OK,8,2,4.8,6.3,6.8
OKLAHOMA CITY UNIVERSITY,OK,8,2,2.6,3.8,4
UNIVERSITY OF SCIENCE & ARTS OF OKLAHOMA,OK,6,1,9.2,8.8,13
ROGERS STATE UNIVERSITY,OK,8,1,4.5,9.6,11.6
OKLAHOMA STATE UNIVERSITY,OK,8,1,2.7,5.2,7
OKLAHOMA STATE UNIVERSITY INSTITUTE OF TECHNOLOGY - OKMULGEE,OK,6,1,9.6,12.2,17
OKLAHOMA PANHANDLE STATE UNIVERSITY,OK,6,1,8.2,12,13.4
CARL ALBERT STATE COLLEGE,OK,5,1,10.4,18.9,19.8
SEMINOLE STATE COLLEGE,OK,5,1,11.3,15.8,18.9
SOUTHEASTERN OKLAHOMA STATE UNIVERSITY,OK,8,1,7,11.6,11.6
SOUTHWESTERN CHRISTIAN UNIVERSITY,OK,8,2,17.2,19.1,18
SOUTHWESTERN OKLAHOMA STATE UNIVERSITY,OK,8,1,9,9.9,9.7
UNIVERSITY OF OKLAHOMA,OK,8,1,3.3,4.7,4.8
UNIVERSITY OF TULSA (THE),OK,8,2,1.5,2.6,4.8
BLUE MOUNTAIN COMMUNITY COLLEGE,OR,5,1,7.3,14,16.6
CENTRAL OREGON COMMUNITY COLLEGE,OR,5,1,11.8,15.5,16.6
CLATSOP COMMUNITY COLLEGE,OR,5,1,12.6,16.7,17.8
EASTERN OREGON UNIVERSITY,OR,8,1,6,7.8,8.6
GEORGE FOX UNIVERSITY,OR,8,2,1.6,2.2,2.3
LANE COMMUNITY COLLEGE,OR,5,1,13.4,18,19.2
LEWIS & CLARK COLLEGE,OR,8,2,1.3,1.1,1.1
LINFIELD UNIVERSITY,OR,8,2,2.1,2.9,2.5
MOUNT ANGEL SEMINARY,OR,8,2,0,0,""
MOUNT HOOD COMMUNITY COLLEGE,OR,5,1,13.3,17.4,19.1
MULTNOMAH UNIVERSITY,OR,8,2,3.2,7.4,3.7
PACIFIC NORTHWEST COLLEGE OF ART,OR,8,2,5.8,7.8,5.7
BUSHNELL UNIVERSITY,OR,8,2,4.5,4.2,5.7
WESTERN OREGON UNIVERSITY,OR,8,1,5.1,7.3,8
OREGON STATE UNIVERSITY,OR,8,1,2.8,3.4,3.9
OREGON INSTITUTE OF TECHNOLOGY,OR,8,1,2,3.3,3.1
PACIFIC UNIVERSITY,OR,8,2,1.7,2,2.2
PORTLAND COMMUNITY COLLEGE,OR,5,1,12.5,16.3,18.2
PORTLAND STATE UNIVERSITY,OR,8,1,4.7,6.3,6.7
REED COLLEGE,OR,8,2,2.1,5.3,0.4
CHEMEKETA COMMUNITY COLLEGE,OR,5,1,11.1,16.2,18.2
SOUTHERN OREGON UNIVERSITY,OR,8,1,6,8,8.5
SOUTHWESTERN OREGON COMMUNITY COLLEGE,OR,5,1,10.1,19.7,17.3
TREASURE VALLEY COMMUNITY COLLEGE,OR,5,1,14.5,20.6,22.6
UMPQUA COMMUNITY COLLEGE,OR,5,1,12.5,18.4,18.4
UNIVERSITY OF OREGON,OR,8,1,3.1,4.2,4.1
UNIVERSITY OF PORTLAND,OR,8,2,0.6,0.7,0.6
WARNER PACIFIC UNIVERSITY,OR,8,2,5.8,7.8,8.9
WILLAMETTE UNIVERSITY,OR,8,2,0.8,1.2,1.8
BRYN ATHYN COLLEGE OF THE NEW CHURCH,PA,8,2,5.8,6.3,10.7
ALBRIGHT COLLEGE,PA,8,2,5.1,8.1,6.5
ALLEGHENY COLLEGE,PA,6,2,2.6,2.8,3.1
COMMUNITY COLLEGE OF ALLEGHENY COUNTY,PA,4,1,11.1,14.4,15.4
ALVERNIA UNIVERSITY,PA,8,2,5.6,6.6,8.2
ARCADIA UNIVERSITY,PA,8,2,3,3.5,3.8
BRYN MAWR COLLEGE,PA,8,2,1,1.8,3
BUCKNELL UNIVERSITY,PA,8,2,0.8,2.1,2.1
BUCKS COUNTY COMMUNITY COLLEGE,PA,5,1,5.1,10.2,10.6
BUTLER COUNTY COMMUNITY COLLEGE,PA,5,1,4.4,8.8,9.9
CABRINI UNIVERSITY,PA,8,2,7.8,8,8.2
CARNEGIE MELLON UNIVERSITY,PA,8,2,0.7,0.6,0.1
CEDAR CREST COLLEGE,PA,8,2,2.3,5.9,5.3
CHATHAM UNIVERSITY,PA,8,2,3.4,3.1,3.6
CHESTNUT HILL COLLEGE,PA,8,2,7.5,9.2,9
MISERICORDIA  UNIVERSITY,PA,8,2,3.3,4.4,4.1
COMMUNITY COLLEGE OF PHILADELPHIA,PA,5,1,14.2,19.3,18.5
CURTIS INSTITUTE OF MUSIC,PA,8,2,7.8,3.9,4.3
DELAWARE VALLEY UNIVERSITY,PA,8,2,6,8.7,8
DICKINSON COLLEGE,PA,6,2,1.9,0,1.9
DREXEL UNIVERSITY,PA,8,2,1.9,2.3,3.1
DUQUESNE UNIVERSITY OF THE HOLY SPIRIT,PA,8,2,2.3,2.5,2.8
EASTERN UNIVERSITY,PA,8,2,5.5,7.4,7
ELIZABETHTOWN COLLEGE,PA,8,2,2.6,3.4,3.5
EVANGELICAL THEOLOGICAL SEMINARY,PA,8,2,3.4,4.4,5.2
FRANKLIN & MARSHALL COLLEGE,PA,6,2,1.8,0.8,0.9
GANNON UNIVERSITY,PA,8,2,3.1,3.7,4
GENEVA COLLEGE,PA,8,2,3.8,7.2,4.6
GETTYSBURG COLLEGE,PA,6,2,1.1,1.2,1.2
GWYNEDD MERCY UNIVERSITY,PA,8,2,3.6,5.6,4.6
HARCUM COLLEGE,PA,5,2,15,19.6,15
HARRISBURG AREA COMMUNITY COLLEGE,PA,5,1,12.2,15.8,16.9
HAVERFORD COLLEGE,PA,8,2,0,0.9,0.9
HOLY FAMILY UNIVERSITY,PA,8,2,4.4,7.5,5.7
IMMACULATA UNIVERSITY,PA,8,2,3.5,6.2,5.2
INDIANA UNIVERSITY OF PENNSYLVANIA,PA,8,1,7,8.5,7.3
JUNIATA COLLEGE,PA,8,2,1.8,3.1,4.2
KEYSTONE COLLEGE,PA,8,2,10.7,9.5,13.7
KINGS COLLEGE,PA,8,2,5.3,6.6,5
LACKAWANNA COLLEGE,PA,6,2,16.7,22,19.6
LAFAYETTE COLLEGE,PA,6,2,0.3,1.2,1
LANCASTER BIBLE COLLEGE,PA,8,2,5.1,8.2,9.1
LANCASTER THEOLOGICAL SEMINARY OF THE UNITED CHURCH OF CHRIST,PA,8,2,4.4,2.7,1.2
LA SALLE UNIVERSITY,PA,8,2,5,5.8,4.6
LEBANON VALLEY COLLEGE,PA,8,2,2.2,3.9,1.7
LEHIGH UNIVERSITY,PA,8,2,0.7,2.3,1.4
LINCOLN UNIVERSITY,PA,8,1,11.2,13.9,11.5
UNITED LUTHERAN SEMINARY,PA,8,2,6.5,5.5,5.4
LYCOMING COLLEGE,PA,6,2,3.1,8.2,5.5
MANOR COLLEGE,PA,6,2,17.2,17.1,18.4
MARYWOOD UNIVERSITY,PA,8,2,2.6,3.9,3.8
MERCYHURST UNIVERSITY,PA,8,2,6.4,9.8,8.7
MESSIAH UNIVERSITY,PA,8,2,2.3,2.4,1.6
MOORE COLLEGE OF ART AND DESIGN,PA,8,2,7.5,13.9,9.3
MORAVIAN UNIVERSITY,PA,8,2,4.3,3.1,3.5
MOUNT ALOYSIUS COLLEGE,PA,8,2,5.1,8.3,7.1
CARLOW UNIVERSITY,PA,8,2,4.1,6.7,7.9
MUHLENBERG COLLEGE,PA,8,2,1.9,3.5,1.5
UNIVERSITY OF VALLEY FORGE,PA,8,2,13.8,11.6,10.2
PEIRCE COLLEGE,PA,8,2,9.2,13.7,13
SALUS UNIVERSITY,PA,8,2,0.3,0,0.8
WIDENER UNIVERSITY,PA,8,2,2.6,4.8,4
BLOOMSBURG UNIVERSITY OF PENNSYLVANIA,PA,8,1,5.6,7.4,7
CALIFORNIA UNIVERSITY OF PENNSYLVANIA,PA,8,1,5.9,7.1,7.4
CHEYNEY UNIVERSITY OF PENNSYLVANIA,PA,8,1,11.3,23.3,25.6
CLARION UNIVERSITY OF PENNSYLVANIA,PA,8,1,6.6,10,8.5
EAST STROUDSBURG UNIVERSITY OF PENNSYLVANIA,PA,8,1,7.9,9.4,8.1
EDINBORO UNIVERSITY OF PENNSYLVANIA,PA,8,1,5.7,9.5,9.4
KUTZTOWN UNIVERSITY OF PENNSYLVANIA,PA,8,1,6.3,7.4,6.9
LOCK HAVEN UNIVERSITY OF PENNSYLVANIA,PA,8,1,7.6,8.1,7.9
MANSFIELD UNIVERSITY OF PENNSYLVANIA,PA,8,1,8.3,9.9,8.5
MILLERSVILLE UNIVERSITY OF PENNSYLVANIA,PA,8,1,4.3,6.1,6.9
SHIPPENSBURG UNIVERSITY OF PENNSYLVANIA,PA,8,1,4.8,6.5,6.8
SLIPPERY ROCK UNIVERSITY,PA,8,1,4.6,5.5,4.9
WEST CHESTER UNIVERSITY OF PENNSYLVANIA,PA,8,1,3.4,4.4,4.9
PENNSYLVANIA STATE UNIVERSITY (THE),PA,8,1,4,5,4.9
UNIVERSITY OF THE ARTS (THE),PA,8,2,4.2,7.4,8.2
CAIRN UNIVERSITY,PA,8,2,6.5,8.1,7.5
PHILADELPHIA COLLEGE OF OSTEOPATHIC MEDICINE,PA,8,2,0.2,1.2,0.8
UNIVERSITY OF THE SCIENCES IN PHILADELPHIA,PA,8,2,1.6,2.6,2.6
PITTSBURGH THEOLOGICAL SEMINARY,PA,8,2,9,8,4.9
POINT PARK UNIVERSITY,PA,8,2,4.2,7.1,7.1
ROBERT MORRIS UNIVERSITY,PA,8,2,3.7,5.3,4.5
ROSEMONT COLLEGE,PA,8,2,5,7.7,9.5
SETON HILL UNIVERSITY,PA,8,2,3.9,4.9,4.3
SAINT CHARLES BORROMEO SEMINARY,PA,8,2,0,0,0
SAINT FRANCIS UNIVERSITY,PA,8,2,4.3,2.3,4.2
SAINT JOSEPH'S UNIVERSITY,PA,8,2,2.5,3.2,3.6
SAINT VINCENT COLLEGE & SEMINARY,PA,8,2,3.9,3.7,4
SUSQUEHANNA UNIVERSITY,PA,8,2,3.3,3.8,4.1
SWARTHMORE COLLEGE,PA,6,2,0.7,0.7,1.3
TEMPLE UNIVERSITY,PA,8,1,3.5,5.1,5.1
THEOLOGICAL SEMINARY REFORMED EPISCOPAL CHURCH,PA,7,2,0,0,0
THIEL COLLEGE,PA,6,2,10.3,11.1,11.5
UNIVERSITY OF PENNSYLVANIA,PA,8,2,0.9,1.4,1.1
UNIVERSITY OF PITTSBURGH,PA,8,1,2.9,3.5,3.4
UNIVERSITY OF SCRANTON,PA,8,2,1.5,1.9,3
URSINUS COLLEGE,PA,6,2,2.5,2.9,2.5
VALLEY FORGE MILITARY COLLEGE,PA,5,2,24.6,28.3,21.8
VILLANOVA UNIVERSITY,PA,8,2,0.9,1.5,1.4
WASHINGTON AND JEFFERSON COLLEGE,PA,8,2,1.7,4.2,1.1
WAYNESBURG UNIVERSITY,PA,8,2,3.8,4.6,4.4
WESTMINSTER COLLEGE,PA,8,2,4,3.2,4.7
WESTMINSTER THEOLOGICAL SEMINARY,PA,8,2,0,1.9,0
WILKES UNIVERSITY,PA,8,2,3.5,5.3,5.7
PENNSYLVANIA COLLEGE OF TECHNOLOGY,PA,8,1,7.1,9.5,11.5
WILSON COLLEGE,PA,8,2,3.7,8.2,5.5
YORK COLLEGE OF PENNSYLVANIA,PA,8,2,3.4,4.8,4.4
BROWN UNIVERSITY,RI,8,2,0.8,2.1,1
BRYANT UNIVERSITY,RI,8,2,0.9,2.2,3
JOHNSON & WALES UNIVERSITY,RI,8,2,6.5,9.4,7
PROVIDENCE COLLEGE,RI,8,2,1.8,2.3,3.7
RHODE ISLAND COLLEGE,RI,8,1,7.5,8.6,7.3
COMMUNITY COLLEGE OF RHODE ISLAND,RI,5,1,10.7,14,13.1
RHODE ISLAND SCHOOL OF DESIGN,RI,8,2,2.3,1.4,3.1
ROGER WILLIAMS UNIVERSITY,RI,8,2,3.7,4,2.7
SALVE REGINA UNIVERSITY,RI,8,2,1.4,1.8,2.8
UNIVERSITY OF RHODE ISLAND,RI,8,1,4.3,4.2,4.4
ALLEN UNIVERSITY,SC,8,2,21.8,23.6,10.3
ANDERSON UNIVERSITY,SC,8,2,4.5,5.7,5.5
CHARLESTON SOUTHERN UNIVERSITY,SC,8,2,7.1,9.6,7.6
BENEDICT COLLEGE,SC,8,2,28.2,28.7,18.5
BOB JONES UNIVERSITY,SC,8,3,1.6,2,1.9
SOUTHERN WESLEYAN UNIVERSITY,SC,8,2,7.1,10,8.7
"CITADEL, THE MILITARY COLLEGE OF SOUTH CAROLINA",SC,8,1,3.1,4.7,4
CLAFLIN UNIVERSITY,SC,8,2,7.3,11.4,10.6
CLEMSON UNIVERSITY,SC,8,1,1.7,3.1,2.9
UNIVERSITY OF SOUTH CAROLINA - SUMTER,SC,6,1,9.2,12.8,9.8
COKER UNIVERSITY,SC,8,2,11.3,10.6,12.8
COLLEGE OF CHARLESTON,SC,8,1,4.1,5.3,5.1
COLUMBIA INTERNATIONAL UNIVERSITY,SC,8,2,4.3,10.6,4.2
COLUMBIA COLLEGE,SC,8,2,6,8.7,6.6
CONVERSE UNIVERSITY,SC,8,2,6.7,7.7,7.2
ERSKINE COLLEGE,SC,8,2,6,8.8,4.7
FURMAN UNIVERSITY,SC,8,2,2.2,2.6,2.7
LANDER UNIVERSITY,SC,8,1,9.3,9.6,10.2
LIMESTONE UNIVERSITY,SC,8,2,10.5,13.9,12.9
MEDICAL UNIVERSITY OF SOUTH CAROLINA,SC,8,1,1.1,1.3,0.6
MORRIS COLLEGE,SC,6,2,10.7,12.3,11.4
NEWBERRY COLLEGE,SC,6,2,11.3,16.3,15.3
NORTH GREENVILLE UNIVERSITY,SC,8,2,5,9.1,7
PRESBYTERIAN COLLEGE,SC,8,2,3.9,3.3,2.4
SOUTH CAROLINA STATE UNIVERSITY,SC,8,1,19.9,23.3,20
SPARTANBURG METHODIST COLLEGE,SC,6,2,16.3,20.1,20.6
UNIVERSITY OF SOUTH CAROLINA - COLUMBIA,SC,8,1,3.1,3.3,3.3
UNIVERSITY OF SOUTH CAROLINA - AIKEN,SC,8,1,6.3,9.3,8.4
UNIVERSITY OF SOUTH CAROLINA - BEAUFORT,SC,8,1,8,12.6,9.9
COASTAL CAROLINA UNIVERSITY,SC,8,1,8.1,7.2,8.3
UNIVERSITY OF SOUTH CAROLINA - LANCASTER,SC,6,1,13,20.1,14.5
UNIVERSITY OF SOUTH CAROLINA - SALKEHATCHIE,SC,6,1,22.8,26.5,22.8
VOORHEES COLLEGE,SC,6,2,24.3,24.8,21.7
WINTHROP UNIVERSITY,SC,8,1,6.5,8.7,5.7
WOFFORD COLLEGE,SC,6,2,0.7,1.2,3.5
AUGUSTANA UNIVERSITY,SD,8,2,1.7,1.8,0.4
BLACK HILLS STATE UNIVERSITY,SD,8,1,8.6,8.2,8.2
DAKOTA WESLEYAN UNIVERSITY,SD,8,2,5,6,5.9
DAKOTA STATE UNIVERSITY,SD,8,1,5.8,7.7,7.4
MOUNT MARTY UNIVERSITY,SD,8,2,3.3,3.6,5.3
NORTHERN STATE UNIVERSITY,SD,8,1,4.7,6.2,8
PRESENTATION COLLEGE,SD,8,2,6.5,9.4,8.1
UNIVERSITY OF SIOUX FALLS,SD,8,2,2.3,4.2,4.5
SOUTH DAKOTA SCHOOL OF MINES & TECHNOLOGY,SD,8,1,3.7,4.8,3.5
SOUTH DAKOTA STATE UNIVERSITY,SD,8,1,2.7,3.8,4.2
UNIVERSITY OF SOUTH DAKOTA,SD,8,1,3.1,4.8,4.8
AUSTIN PEAY STATE UNIVERSITY,TN,8,1,10.4,11.7,12.4
BELMONT UNIVERSITY,TN,8,2,2.5,3,2.4
BETHEL UNIVERSITY,TN,8,2,9.8,11.5,11.2
CARSON - NEWMAN UNIVERSITY,TN,8,2,4.9,6.6,9
CHRISTIAN BROTHERS UNIVERSITY,TN,8,2,6.9,8,7.9
COLUMBIA STATE COMMUNITY COLLEGE,TN,5,1,9.8,15.9,18.1
COVENANT COLLEGE,GA,8,2,0.8,2.3,1.5
CUMBERLAND UNIVERSITY,TN,8,2,6.7,7.9,8
LIPSCOMB UNIVERSITY,TN,8,2,2.9,3.9,2.7
EAST TENNESSEE STATE UNIVERSITY,TN,8,1,7.5,9.9,9.6
FISK UNIVERSITY,TN,8,2,12.3,12.6,10.1
FREED HARDEMAN UNIVERSITY,TN,8,2,3.1,7.7,5.8
JOHNSON UNIVERSITY,TN,8,2,3.5,8.8,5.2
KING UNIVERSITY,TN,8,2,4.7,6.3,6.7
LANE COLLEGE,TN,6,2,34.5,31.7,17.1
LEE UNIVERSITY,TN,8,2,4.5,7.4,8.2
LEMOYNE - OWEN COLLEGE,TN,6,2,14.8,21.7,23.3
LINCOLN MEMORIAL UNIVERSITY,TN,8,2,3.7,3.8,3.4
MARTIN METHODIST COLLEGE,TN,8,2,12.8,13.3,15.1
MARYVILLE COLLEGE,TN,6,2,6.2,9.8,8
MEHARRY MEDICAL COLLEGE,TN,8,2,1.3,0.4,2.4
UNIVERSITY OF MEMPHIS (THE),TN,8,1,9.3,11.4,11
MIDDLE TENNESSEE STATE UNIVERSITY,TN,8,1,7.6,9.7,10.3
MILLIGAN UNIVERSITY,TN,8,2,3.2,3.6,3.9
SOUTHERN COLLEGE OF OPTOMETRY,TN,7,2,0,0,0
SOUTHERN ADVENTIST UNIVERSITY,TN,8,2,4.5,5.6,4.5
RHODES COLLEGE,TN,8,2,3.1,2,3.3
TENNESSEE STATE UNIVERSITY,TN,8,1,11.4,14.2,14.2
TENNESSEE TECHNOLOGICAL UNIVERSITY,TN,8,1,4.1,4.8,5
TENNESSEE WESLEYAN UNIVERSITY,TN,8,2,7.7,10.5,10.7
TREVECCA NAZARENE UNIVERSITY,TN,8,2,5.9,6.5,5
TUSCULUM UNIVERSITY,TN,8,2,12.1,12.2,12.3
UNION UNIVERSITY,TN,8,2,4.3,4.1,4.7
