Ownership Rate
72.5
66.9
70.3
66.5
55.7
66.7
63.8
73.0
44.2
68.4
64.4
59.7
72.3
63.7
75.2
72.8
67.8
74.0
70.1
74.5
70.4
60.9
75.6
73.9
72.5
72.6
68.2
69.8
59.4
74.7
66.9
73.0
54.0
65.0
66.3
65.5
68.2
64.3
71.5
65.0
74.4
69.7
66.4
64.3
71.5
73.4
66.1
68.4
77.8
71.6
78.0

