Percent
15
10
13.4
15.5
12.1
9.1
9.4
10.6
14.4
12.4
13.3
8.6
10.7
11.6
12.2
10.5
10.9
15.8
18
10.5
8.4
9.1
13.2
8.8
19.1
12.5
11.9
9.7
11.8
7
8.9
17.8
12.6
13.2
9.6
13
14.6
11.6
11.3
10.6
13.8
12
13.6
13.1
8.3
10
9.4
9.4
16.9
10.4
10.5
