Gallons per Capita
4.8
3.2
3
2.6
2.7
2.2
2.5
2.6
2.3
4
2.2
3.8
2.2
2.3
2.1
2.7
1.9
2.1
2.3
1.8
2.1
2.3
2.5
2.4
2.6
1.9
2.7
2.4
3.1
2.9
2.3
2.7
1.9
2.6
2.4
2.1
2.2
2.3
3.3
2.3
3
2.9
3.3
2.1
1.4
2.2
2.3
2.8
2.7
2.3
2.7
